trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
29,29_0,FAILED,GenerationStep_0,,,2976,165,822,0.480656277922913433009455275169,0.400000000000000022204460492503
30,30_0,RUNNING,SOBOL,,,4802,3616,363,0.594292029380798392246276762307,0.200000000000000011102230246252
31,31_0,RUNNING,SOBOL,,,2,2482,4168,0.054650594629347327979562720657,0.001000000000000000020816681712
32,32_0,RUNNING,SOBOL,,,1793,4416,1419,0.867587565233930990693522744550,0.000000000000999999999999999980
33,33_0,RUNNING,SOBOL,,,3399,705,2802,0.295919165510684256670259628663,0.599999999999999977795539507497
34,34_0,RUNNING,SOBOL,,,2893,3823,4660,0.424598418325185800181742479253,0.900000000000000022204460492503
35,35_0,RUNNING,SOBOL,,,1911,110,811,0.972752444753423373136058671662,0.000000001000000000000000062282
36,36_0,RUNNING,SOBOL,,,1134,2983,3526,0.167856945823878056511802014938,0.000000999999999999999954748112
37,37_0,RUNNING,SOBOL,,,4058,1849,2255,0.746119194535538543533448319067,0.010000000000000000208166817117
38,38_0,RUNNING,SOBOL,,,4192,4727,3226,0.884453474475070833271672654519,0.000100000000000000004792173602
39,39_0,RUNNING,SOBOL,,,691,1092,1930,0.466664847131818549819115560240,0.400000000000000022204460492503
40,40_0,RUNNING,SOBOL,,,2354,3340,4985,0.644174715215340309981684185914,0.599999999999999977795539507497
41,41_0,RUNNING,SOBOL,,,2760,2127,1111,0.192379480138421071755416846827,0.000000000100000000000000003643
42,42_0,RUNNING,SOBOL,,,3581,2722,1743,0.087153654072433708877021274475,0.000000010000000000000000209226
43,43_0,FAILED,SOBOL,,,1301,1510,3103,0.515434553032740994105154186400,0.800000000000000044408920985006
44,44_0,FAILED,SOBOL,,,494,4070,62,0.314776767961680914442723633329,0.200000000000000011102230246252
45,45_0,FAILED,SOBOL,,,4620,436,3844,0.771186161862686292423063605384,0.000000999999999999999954748112
46,46_0,FAILED,SOBOL,,,4497,4287,2099,0.154640007037669419132086545687,0.599999999999999977795539507497
47,47_0,FAILED,SOBOL,,,390,575,3372,0.696959720542654426189699279348,0.000000000000999999999999999980
48,48_0,FAILED,SOBOL,,,1410,2510,965,0.379342148102819909372129814074,0.001000000000000000020816681712
49,49_0,FAILED,SOBOL,,,3709,1376,4816,0.955634205730631958175536055933,0.299999999999999988897769753748
50,50_0,RUNNING,SOBOL,,,2656,3162,2958,0.827199568180367328373847612966,0.010000000000000000208166817117
51,51_0,RUNNING,SOBOL,,,2231,2027,1573,0.273930720042437292338632914834,0.000010000000000000000818030539
52,52_0,RUNNING,SOBOL,,,819,4900,4014,0.583996029028668983684724480554,0.000000001000000000000000062282
53,53_0,RUNNING,SOBOL,,,4300,1187,207,0.002572036474943160955231036269,0.900000000000000022204460492503
54,54_0,RUNNING,SOBOL,,,3857,2883,4314,0.366856270447373400411805732801,0.000000000009999999999999999395
55,55_0,RUNNING,SOBOL,,,952,1670,532,0.781483101898804322082980888808,0.500000000000000000000000000000
56,56_0,RUNNING,SOBOL,,,2098,3918,2633,0.109141140338033432177766712812,0.299999999999999988897769753748
57,57_0,RUNNING,SOBOL,,,3100,284,1273,0.555821605755016157068837401312,0.000010000000000000000818030539
58,58_0,FAILED,SOBOL,,,3217,4556,640,0.661293898569420002253593793284,0.000000099999999999999995474811
59,59_0,FAILED,SOBOL,,,1592,922,4516,0.237636709563434134206971748426,0.100000000000000005551115123126
60,60_0,FAILED,SOBOL,,,208,3481,2399,0.933611989265307751217903842189,0.699999999999999955591079014994
61,61_0,FAILED,SOBOL,,,4989,2270,3697,0.479880841586738826620717190963,0.000000001000000000000000062282
62,62_0,FAILED,SOBOL,,,4867,4468,4906,0.020925746167078613374501472322,0.010000000000000000208166817117
63,63_0,FAILED,SOBOL,,,252,677,1188,0.566037912353873240434154467948,0.000000999999999999999954748112
64,64_0,FAILED,SOBOL,,,1705,3745,3149,0.264051329655572764032456234418,0.000000000100000000000000003643
65,65_0,FAILED,SOBOL,,,3183,2376,2009,0.837535702612251076182303677342,0.800000000000000044408920985006
66,66_0,FAILED,SOBOL,,,2987,3088,142,0.942884507380425951339475432178,0.599999999999999977795539507497
67,67_0,FAILED,SOBOL,,,2132,1720,3767,0.392670862810686249755320886834,0.000000000000999999999999999980
68,68_0,FAILED,SOBOL,,,1075,3850,1820,0.718290778521448403104443514167,0.001000000000000000020816681712
69,69_0,FAILED,SOBOL,,,3813,60,3023,0.133826814388856296655916366944,0.200000000000000011102230246252
70,70_0,RUNNING,SOBOL,,,4266,3366,1496,0.498745044132694603788991116744,0.000000099999999999999995474811
71,71_0,RUNNING,SOBOL,,,932,2076,2723,0.914230397272855044299433302513,0.100000000000000005551115123126
72,72_0,RUNNING,SOBOL,,,2275,4831,442,0.226257449688389900011031841132,0.800000000000000044408920985006
73,73_0,RUNNING,SOBOL,,,2535,963,4091,0.672094617970287799835205078125,0.000000010000000000000000209226
74,74_0,RUNNING,SOBOL,,,3665,4200,3449,0.543536009054630953052367203782,0.000000000100000000000000003643
75,75_0,RUNNING,SOBOL,,,1532,330,2334,0.120969517109915616903670354532,0.500000000000000000000000000000
76,76_0,RUNNING,SOBOL,,,424,2774,4581,0.801390186369419055267826479394,0.400000000000000022204460492503
77,77_0,RUNNING,SOBOL,,,4385,1483,888,0.346553117075935002144859709006,0.000100000000000000004792173602
78,78_0,RUNNING,SOBOL,,,4586,2635,2556,0.727491275575011919762857814931,0.900000000000000022204460492503
79,79_0,RUNNING,SOBOL,,,607,1265,1352,0.187002759857103240115350217820,0.000000001000000000000000062282
80,80_0,RUNNING,SOBOL,,,1345,4334,4235,0.984367988213896705218530769343,0.000010000000000000000818030539
81,81_0,RUNNING,SOBOL,,,3459,543,609,0.413561920965090368262906395103,0.010000000000000000208166817117
82,82_0,RUNNING,SOBOL,,,2716,4931,2476,0.308455768441781408295554456345,0.299999999999999988897769753748
83,83_0,RUNNING,SOBOL,,,2477,1141,3617,0.855507676605135158887094348756,0.001000000000000000020816681712
84,84_0,RUNNING,SOBOL,,,725,3271,720,0.034994516389444473014602721150,0.000000000009999999999999999395
85,85_0,RUNNING,SOBOL,,,4079,1903,4439,0.614343651376664690033635451982,0.699999999999999955591079014994
86,86_0,FAILED,SOBOL,,,3937,4028,1045,0.753083503015339328356958503718,0.000000010000000000000000209226
87,87_0,FAILED,SOBOL,,,1178,160,4739,0.332483387650921946576687560082,0.699999999999999955591079014994
88,88_0,FAILED,SOBOL,,,2024,2915,2176,0.525564994264394069745094384416,0.100000000000000005551115123126
89,89_0,FAILED,SOBOL,,,2859,1625,3292,0.076566022654995319340898163318,0.000000099999999999999995474811
90,90_0,FAILED,SOBOL,,,3287,3528,3934,0.205365447202697393169756878706,0.000010000000000000000818030539
91,91_0,FAILED,SOBOL,,,1827,2237,284,0.630610177934169735536329426395,0.400000000000000022204460492503
92,92_0,FAILED,SOBOL,,,124,4681,2881,0.445570057867094859727075117917,0.500000000000000000000000000000
93,93_0,FAILED,SOBOL,,,4758,811,1653,0.905030844550579804952405993390,0.000000000009999999999999999395
94,94_0,FAILED,SOBOL,,,4713,3880,3061,0.342573018155992004007970308521,0.000000999999999999999954748112
95,95_0,FAILED,SOBOL,,,89,15,1783,0.759044336812570663575172602577,0.010000000000000000208166817117
96,96_0,FAILED,SOBOL,,,1862,3079,3882,0.071105836872011426996742500251,0.800000000000000044408920985006
97,97_0,FAILED,SOBOL,,,3333,1792,26,0.515949295377358785330557111592,0.000000000100000000000000003643
98,98_0,FAILED,SOBOL,,,2823,3674,1889,0.636830033624544711301496136002,0.000000000000999999999999999980
99,99_0,FAILED,SOBOL,,,1979,2385,3269,0.215257236585021022312602667625,0.599999999999999977795539507497
100,100_0,FAILED,SOBOL,,,1223,4513,1146,0.895643473071977447297342678212,0.200000000000000011102230246252
101,101_0,FAILED,SOBOL,,,3972,647,4948,0.439820423390716308542636170387,0.000100000000000000004792173602
102,102_0,FAILED,SOBOL,,,4103,2780,841,0.177158727984875447036827722513,0.200000000000000011102230246252
103,103_0,FAILED,SOBOL,,,777,1413,4628,0.721284813402220614797499820270,0.000000099999999999999995474811
104,104_0,FAILED,SOBOL,,,2424,4167,2209,0.419263898313045502153073584850,0.000000010000000000000000209226
105,105_0,FAILED,SOBOL,,,2692,378,3574,0.993741865793243084326036296261,0.800000000000000044408920985006
106,106_0,FAILED,SOBOL,,,3512,4783,4202,0.849529526969417969617381913849,0.500000000000000000000000000000
107,107_0,FAILED,SOBOL,,,1368,996,332,0.298322302747517809073940497910,0.000000000009999999999999999395
108,108_0,FAILED,SOBOL,,,583,3436,2755,0.623976535977795676579660266725,0.000100000000000000004792173602
109,109_0,FAILED,SOBOL,,,4533,2070,1463,0.040498667486011982741267445363,0.400000000000000022204460492503
110,110_0,RUNNING,SOBOL,,,4427,3218,4480,0.908741440987214432745133763092,0.000000001000000000000000062282
111,111_0,RUNNING,SOBOL,,,458,1931,679,0.489096964720636628864980366416,0.900000000000000022204460492503
112,112_0,RUNNING,SOBOL,,,1498,4996,3736,0.682212888853624410678833100974,0.100000000000000005551115123126
113,113_0,RUNNING,SOBOL,,,3623,1130,2357,0.232250794135034077658730211624,0.000010000000000000000818030539
114,114_0,RUNNING,SOBOL,,,2567,4345,495,0.111610901262611153517134710000,0.001000000000000000020816681712
115,115_0,RUNNING,SOBOL,,,2318,478,4349,0.537818769974634069974683825421,0.299999999999999988897769753748
116,116_0,RUNNING,SOBOL,,,888,2607,1316,0.352744317516684557922701515054,0.699999999999999955591079014994
117,117_0,RUNNING,SOBOL,,,4234,1318,2593,0.811249479973688680800592010200,0.000000000009999999999999999395
118,118_0,RUNNING,SOBOL,,,3788,4613,1621,0.571772352019324858751758711151,0.800000000000000044408920985006
119,119_0,RUNNING,SOBOL,,,1019,825,2912,0.030328312456607820629672644941,0.000000010000000000000000209226
120,120_0,RUNNING,SOBOL,,,2188,3578,175,0.827659108040854296639565745863,0.000000099999999999999995474811
121,121_0,FAILED,SOBOL,,,3012,2212,4044,0.257816279154270910911606051741,0.100000000000000005551115123126
122,122_0,FAILED,SOBOL,,,3129,2940,3416,0.402271299965679618448888277271,0.400000000000000022204460492503
123,123_0,FAILED,SOBOL,,,1678,1575,2052,0.948359954895451662260086322931,0.000010000000000000000818030539
124,124_0,FAILED,SOBOL,,,279,4014,4785,0.127881242323666821647520919214,0.000000000009999999999999999395
125,125_0,FAILED,SOBOL,,,4921,227,999,0.708185886284336429952190883341,0.500000000000000000000000000000
126,126_0,FAILED,SOBOL,,,4956,3028,2286,0.791129290789365779978936643602,0.001000000000000000020816681712
127,127_0,FAILED,SOBOL,,,166,1818,3495,0.372347087511792795844201009459,0.200000000000000011102230246252
128,128_0,FAILED,SOBOL,,,1634,3751,920,0.549830118369311060533277668583,0.599999999999999977795539507497
129,129_0,FAILED,SOBOL,,,3251,119,4551,0.099020982651039965438677370457,0.000000000000999999999999999980
130,130_0,RUNNING,SOBOL,,,3056,4408,2678,0.243355839164927589823861353580,0.000000000100000000000000003643
131,131_0,RUNNING,SOBOL,,,2066,777,1543,0.670650653637945626250882469321,0.900000000000000022204460492503
132,132_0,FAILED,SOBOL,,,985,3646,4122,0.470019690921530119975813022393,0.010000000000000000208166817117
133,133_0,FAILED,SOBOL,,,3901,2437,409,0.927422675628215120724462394719,0.000000999999999999999954748112
134,134_0,FAILED,SOBOL,,,4356,4139,3803,0.687555204246193207850978978968,0.400000000000000022204460492503
135,135_0,FAILED,SOBOL,,,844,430,103,0.148907487636432050992496556319,0.000100000000000000004792173602
136,136_0,FAILED,SOBOL,,,2206,2674,2984,0.961871172778308358708443392970,0.000000000100000000000000003643
137,137_0,FAILED,SOBOL,,,2601,1543,1862,0.389216796385124352841700101635,0.599999999999999977795539507497
138,138_0,FAILED,SOBOL,,,3736,3307,1225,0.268457222534343620257146767472,0.800000000000000044408920985006
139,139_0,FAILED,SOBOL,,,1464,2175,4871,0.817597210761159653991114737437,0.000000010000000000000000209226
140,140_0,FAILED,SOBOL,,,336,4733,1966,0.012675012165680527714828329522,0.000000099999999999999995474811
141,141_0,FAILED,SOBOL,,,4471,1022,3190,0.589943547382950739255136340944,0.200000000000000011102230246252
142,142_0,FAILED,SOBOL,,,4656,4872,254,0.460702126530930400338803565319,0.000000000000999999999999999980
143,143_0,FAILED,SOBOL,,,540,1240,3967,0.874365701030939801441377312585,0.699999999999999955591079014994
144,144_0,FAILED,SOBOL,,,1256,3173,1698,0.201997039804235112292474241258,0.299999999999999988897769753748
145,145_0,FAILED,SOBOL,,,3546,1962,2833,0.649633010476827643664421430003,0.001000000000000000020816681712
146,146_0,FAILED,SOBOL,,,2805,2574,4705,0.505544650454074151468830677914,0.000000999999999999999954748112
147,147_0,FAILED,SOBOL,,,2390,1365,1076,0.080931941321119665877503734919,0.010000000000000000208166817117
148,148_0,FAILED,SOBOL,,,655,4234,3339,0.776933935560286004218255584419,0.900000000000000022204460492503
149,149_0,FAILED,SOBOL,,,4147,603,2132,0.324166029961779733614690712784,0.000000001000000000000000062282
150,150_0,RUNNING,SOBOL,,,4006,3468,3659,0.060855110513046387077373822194,0.500000000000000000000000000000
151,151_0,RUNNING,SOBOL,,,1111,2337,2437,0.604137958280742126682127945969,0.000000000009999999999999999395
152,152_0,RUNNING,SOBOL,,,1935,4581,4400,0.286547208195552238763070818095,0.000010000000000000000818030539
153,153_0,RUNNING,SOBOL,,,2945,872,756,0.861883637879043762453079580155,0.400000000000000022204460492503
154,154_0,RUNNING,SOBOL,,,3377,3968,1393,0.982887856736779252919689042756,0.100000000000000005551115123126
155,155_0,RUNNING,SOBOL,,,1741,258,2513,0.430574651414528497550548991057,0.000000099999999999999995474811
156,156_0,RUNNING,SOBOL,,,55,2816,574,0.740613123174756804445451052743,0.000000001000000000000000062282
157,157_0,RUNNING,SOBOL,,,4825,1684,4272,0.158226011229678997782599481070,0.699999999999999955591079014994
158,158_0,RUNNING,SOBOL,,,4814,4813,1295,0.647851643824949863237350200507,0.000000000100000000000000003643
159,159_0,RUNNING,SOBOL,,,74,947,2611,0.188154809638857833942182651299,0.900000000000000022204460492503
160,160_0,RUNNING,SOBOL,,,1727,3387,476,0.888025678975507659629329282325,0.010000000000000000208166817117
161,161_0,RUNNING,SOBOL,,,3393,2100,4370,0.462544900741428122170617598385,0.000000999999999999999954748112
162,162_0,RUNNING,SOBOL,,,2963,2750,3718,0.318394657276570791637482216174,0.000100000000000000004792173602
163,163_0,RUNNING,SOBOL,,,1924,1462,2378,0.767142356829717764199472185283,0.200000000000000011102230246252
164,164_0,RUNNING,SOBOL,,,1126,4215,4459,0.090906724039465189313169446450,0.599999999999999977795539507497
165,165_0,FAILED,SOBOL,,,3993,349,697,0.511255567347630890395748792798,0.000000000000999999999999999980
166,166_0,FAILED,SOBOL,,,4165,3722,4804,0.871766521176323250230666417337,0.800000000000000044408920985006
167,167_0,FAILED,SOBOL,,,644,2355,977,0.292166125286370537139646330616,0.000000010000000000000000209226
168,168_0,FAILED,SOBOL,,,2406,4484,3438,0.598335844637826075320674590330,0.000000099999999999999995474811
169,169_0,FAILED,SOBOL,,,2791,695,2033,0.051032675571739676001481456069,0.200000000000000011102230246252
170,170_0,RUNNING,SOBOL,,,3536,3831,195,0.171976921956986189554683619463,0.400000000000000022204460492503
171,171_0,RUNNING,SOBOL,,,1274,44,4026,0.742546960292383984025832432962,0.000100000000000000004792173602
172,172_0,RUNNING,SOBOL,,,527,3109,1639,0.428823059082031277089441800854,0.000000000009999999999999999395
173,173_0,RUNNING,SOBOL,,,4671,1743,2892,0.969075545886531442008049452852,0.500000000000000000000000000000
174,174_0,RUNNING,SOBOL,,,4485,2892,1167,0.104975033249706029003789353737,0.000010000000000000000818030539
175,175_0,RUNNING,SOBOL,,,320,1604,4929,0.559560845358297198615105116914,0.100000000000000005551115123126
176,176_0,FAILED,SOBOL,,,1476,4044,1908,0.362798635050654405542758240699,0.900000000000000022204460492503
177,177_0,FAILED,SOBOL,,,3717,179,3248,0.785113869810476927568743121810,0.000000001000000000000000062282
178,178_0,FAILED,SOBOL,,,2585,4662,3900,0.929508669054135650000603163789,0.000000000009999999999999999395
179,179_0,COMPLETED,SOBOL,0.579999999999999960031971113494,894.000000000000000000000000000000,2219,795,6,0.483435468140989532681572882211,0.699999999999999955591079014994
180,180_0,FAILED,SOBOL,,,826,3549,3080,0.657051650123670727410285508086,0.299999999999999988897769753748
181,181_0,FAILED,SOBOL,,,4367,2260,1766,0.241330264352262013893835046474,0.001000000000000000020816681712
182,182_0,FAILED,SOBOL,,,3884,4315,2736,0.375648563571274296535307257727,0.100000000000000005551115123126
183,183_0,FAILED,SOBOL,,,998,527,1485,0.959876483919098966168803599430,0.000000099999999999999995474811
184,184_0,FAILED,SOBOL,,,2047,2655,4181,0.151085410226136446221190112738,0.000000010000000000000000209226
185,185_0,RUNNING,SOBOL,,,3067,1289,350,0.701063011011108794257040699449,0.800000000000000044408920985006
186,186_0,RUNNING,SOBOL,,,3264,3248,2189,0.580365290859714111348921505851,0.500000000000000000000000000000
187,187_0,RUNNING,SOBOL,,,1619,1883,3592,0.006629642128944396653467130420,0.000000000009999999999999999395
188,188_0,FAILED,SOBOL,,,177,4947,823,0.823460298834368553677620639064,0.000010000000000000000818030539
189,189_0,FAILED,SOBOL,,,4937,1160,4648,0.278096856873482456418145147836,0.400000000000000022204460492503
190,190_0,RUNNING,SOBOL,,,4894,3356,3358,0.222702347250655297017374323332,0.000000000000999999999999999980
191,191_0,RUNNING,SOBOL,,,299,2146,2110,0.676197462297976059630855161231,0.599999999999999977795539507497
192,192_0,RUNNING,SOBOL,,,1652,4704,4727,0.495051013460382827169325992145,0.299999999999999988897769753748
193,193_0,RUNNING,SOBOL,,,3152,1072,1056,0.918472169835120477721090992418,0.001000000000000000020816681712
194,194_0,RUNNING,SOBOL,,,3033,4090,1718,0.797650470882654172299908168497,0.000000999999999999999954748112
195,195_0,RUNNING,SOBOL,,,2159,459,2815,0.350718748280778536141610857158,0.010000000000000000208166817117
196,196_0,RUNNING,SOBOL,,,1042,2703,272,0.539904765259474506144954375486,0.900000000000000022204460492503
197,197_0,RUNNING,SOBOL,,,3762,1494,3947,0.125026676623150700962128212268,0.000000000100000000000000003643
198,198_0,RUNNING,SOBOL,,,4254,4437,553,0.259994199885055399246169827165,0.599999999999999977795539507497
199,199_0,RUNNING,SOBOL,,,860,727,4291,0.841166916664689789939757247339,0.000000000100000000000000003643
200,200_0,RUNNING,SOBOL,,,2341,3597,1374,0.016760085219517349697238017825,0.000100000000000000004792173602
201,201_0,RUNNING,SOBOL,,,2541,2466,2534,0.569777657583355856552032037143,0.400000000000000022204460492503
202,202_0,RUNNING,SOBOL,,,3595,3000,4382,0.714048976216465236532826565963,0.200000000000000011102230246252
203,203_0,RUNNING,SOBOL,,,1519,1867,776,0.137520874803885806425540749842,0.000000999999999999999954748112
204,204_0,FAILED,SOBOL,,,432,3800,3639,0.938781692795455424693784607371,0.000000010000000000000000209226
205,205_0,FAILED,SOBOL,,,4450,90,2455,0.396225935505703064087867915077,0.800000000000000044408920985006
206,206_0,FAILED,SOBOL,,,4559,3940,4104,0.529609275180846439390336399811,0.001000000000000000020816681712
207,207_0,FAILED,SOBOL,,,561,307,430,0.072948609223589297445577983581,0.299999999999999988897769753748
208,208_0,FAILED,SOBOL,,,1396,2865,2657,0.757262964583933384510316955129,0.699999999999999955591079014994
209,209_0,FAILED,SOBOL,,,3491,1655,1561,0.328730793567374335317765599029,0.000000000000999999999999999980
210,210_0,FAILED,SOBOL,,,2669,3497,900,0.449795204250141966717535524367,0.000000001000000000000000062282
211,211_0,FAILED,SOBOL,,,2450,2288,4569,0.901354391824454093118390574091,0.900000000000000022204460492503
212,212_0,FAILED,SOBOL,,,756,4532,2268,0.209485869476571689995481051483,0.010000000000000000208166817117
213,213_0,FAILED,SOBOL,,,4131,901,3515,0.627038449317216861622625856398,0.000000999999999999999954748112
214,214_0,FAILED,SOBOL,,,3949,2525,1988,0.987939746573567423304496060155,0.299999999999999988897769753748
215,215_0,FAILED,SOBOL,,,1248,1394,3171,0.409441468948498366042798579656,0.000010000000000000000818030539
216,216_0,FAILED,SOBOL,,,1958,4263,1244,0.731167698558419898446913975931,0.000000000009999999999999999395
217,217_0,FAILED,SOBOL,,,2851,554,4849,0.182777643216773866274849069669,0.500000000000000000000000000000
218,218_0,FAILED,SOBOL,,,3358,4921,3001,0.038747080730274323367989808276,0.699999999999999955591079014994
219,219_0,FAILED,SOBOL,,,1839,1211,1842,0.610164219550788367030236258870,0.000000001000000000000000062282
220,220_0,FAILED,SOBOL,,,117,3144,3823,0.312073211615905177218621702195,0.000000099999999999999995474811
221,221_0,RUNNING,SOBOL,,,4692,2011,86,0.851463365945965056091893075063,0.100000000000000005551115123126
222,222_0,FAILED,SOBOL,,,4745,2692,3993,0.415647912532091157178371076952,0.599999999999999977795539507497
223,223_0,FAILED,SOBOL,,,140,1559,226,0.997783767292276024818420410156,0.000000000000999999999999999980
224,224_0,FAILED,SOBOL,,,1817,4118,2939,0.173403754483908406625047859961,0.001000000000000000020816681712
225,225_0,FAILED,SOBOL,,,3305,407,1594,0.725465702621266195215810057562,0.200000000000000011102230246252
226,226_0,FAILED,SOBOL,,,2875,4756,947,0.620297703834250535592786945926,0.010000000000000000208166817117
227,227_0,FAILED,SOBOL,,,2010,1043,4836,0.044725241519510745835663811931,0.000000999999999999999954748112
228,228_0,FAILED,SOBOL,,,1197,3291,2079,0.845959226002916730990932592249,0.000000001000000000000000062282
229,229_0,FAILED,SOBOL,,,3925,2157,3390,0.302440345603972648991231153559,0.900000000000000022204460492503
230,230_0,RUNNING,SOBOL,,,4095,3775,2418,0.066987764272838826173916970674,0.000000000100000000000000003643
231,231_0,RUNNING,SOBOL,,,712,140,3675,0.519519626086577757106965691491,0.599999999999999977795539507497
232,232_0,RUNNING,SOBOL,,,2495,3013,662,0.338346473865210994880214911973,0.400000000000000022204460492503
233,233_0,RUNNING,SOBOL,,,2706,1800,4496,0.762723139213398071412086665077,0.000100000000000000004792173602
234,234_0,RUNNING,SOBOL,,,3446,3664,2653,0.891462613595649600028991699219,0.000000999999999999999954748112
235,235_0,RUNNING,SOBOL,,,1361,2453,1255,0.443575367148965615804456774640,0.200000000000000011102230246252
236,236_0,RUNNING,SOBOL,,,595,4387,4332,0.632788102382794037659152763808,0.800000000000000044408920985006
237,237_0,RUNNING,SOBOL,,,4605,753,512,0.218873252108693128192840049451,0.000000010000000000000000209226
238,238_0,RUNNING,SOBOL,,,4396,4604,3548,0.831764331785961985588073730469,0.299999999999999988897769753748
239,239_0,RUNNING,SOBOL,,,406,893,2236,0.254259749066084617119543054287,0.001000000000000000020816681712
240,240_0,RUNNING,SOBOL,,,1546,3452,4679,0.576012696931138656886162152659,0.000000000000999999999999999980
241,241_0,RUNNING,SOBOL,,,3650,2318,789,0.026636661201715469693418469888,0.599999999999999977795539507497
242,242_0,RUNNING,SOBOL,,,2516,2835,1436,0.132045445878058664845866587711,0.900000000000000022204460492503
243,243_0,RUNNING,SOBOL,,,2286,1700,2782,0.704448550214990976137130473944,0.000000001000000000000000062282
244,244_0,RUNNING,SOBOL,,,916,3948,383,0.406330838896334145537991844321,0.000010000000000000000818030539
245,245_0,RUNNING,SOBOL,,,4280,235,4151,0.944727283449843580065419246239,0.010000000000000000208166817117
246,246_0,RUNNING,SOBOL,,,3795,3191,44,0.685845530556514870745843381883,0.000010000000000000000818030539
247,247_0,RUNNING,SOBOL,,,1085,1978,3865,0.228191284947097311475161518501,0.299999999999999988897769753748
248,248_0,FAILED,SOBOL,,,2117,4851,1722,0.912478806799277619710153430788,0.500000000000000000000000000000
249,249_0,FAILED,SOBOL,,,3001,1217,3122,0.484932731423526997005524208362,0.000000000009999999999999999395
250,250_0,RUNNING,SOBOL,,,3194,4257,4965,0.356435998514294638539467996452,0.000000010000000000000000209226
251,251_0,RUNNING,SOBOL,,,1686,624,1129,0.807009105319157260538531772909,0.699999999999999955591079014994
252,252_0,RUNNING,SOBOL,,,266,2558,3208,0.115167401608079672525875025713,0.100000000000000005551115123126
253,253_0,RUNNING,SOBOL,,,4851,1347,1950,0.533713575972244114176135099115,0.000000099999999999999995474811
254,254_0,RUNNING,SOBOL,,,4963,4150,739,0.965608984731137764967456860177,0.800000000000000044408920985006
