trial_index,arm_name,trial_status,generation_node,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
173,173_0,FAILED,SOBOL,3911,1766,57,85,0.453375312877818958945397298521
174,174_0,FAILED,SOBOL,3414,2669,28,604,0.100692938856780531131640543663
175,175_0,FAILED,SOBOL,79,484,92,331,0.516014128925278758863726125128
176,176_0,FAILED,SOBOL,254,2593,12,988,0.279305663196370013157121547920
177,177_0,FAILED,SOBOL,3246,404,70,199,0.854432094421237686709957870335
178,178_0,FAILED,SOBOL,3765,3875,41,742,0.716154505031183385987958445185
179,179_0,FAILED,SOBOL,2071,1690,79,453,0.168560563720762723871615662574
180,180_0,RUNNING,SOBOL,1573,4540,62,289,0.006230713279917836008858778030
181,181_0,RUNNING,SOBOL,4889,2353,21,531,0.612544038496911524838139939675
182,182_0,RUNNING,SOBOL,3061,3334,90,36,0.941599035484716240240743445611
183,183_0,RUNNING,SOBOL,1064,1147,29,778,0.425193646322935825399014220238
184,184_0,RUNNING,SOBOL,881,4078,97,568,0.794077987544238528272444455069
185,185_0,RUNNING,SOBOL,2654,1267,36,373,0.339773506226018096043617333635
186,186_0,RUNNING,SOBOL,4398,2853,55,815,0.232934919398278011959391164964
187,187_0,FAILED,SOBOL,1482,41,14,119,0.651910065544769157241944412817
188,188_0,FAILED,SOBOL,2215,3675,47,143,0.552076563533395514582480245735
189,189_0,FAILED,SOBOL,4290,860,85,916,0.066583500323817129684655924393
190,190_0,FAILED,SOBOL,3698,4976,6,396,0.489437747485935714664151419129
191,191_0,FAILED,SOBOL,462,2166,64,670,0.877225969897583168766175276687
192,192_0,FAILED,SOBOL,421,4347,3,362,0.738586104910820773206125977595
193,193_0,FAILED,SOBOL,3737,1535,67,573,0.128587898625060925716923065920
194,194_0,FAILED,SOBOL,4253,3054,49,116,0.301705854766070868944183303029
195,195_0,FAILED,SOBOL,2255,241,83,827,0.814487030567601300035107669828
196,196_0,FAILED,SOBOL,1445,3484,53,913,0.979625575073063359354819112923
197,197_0,FAILED,SOBOL,4438,670,16,156,0.400813541518524274476220625729
198,198_0,FAILED,SOBOL,2613,4698,100,659,0.044223941024392844634238741719
199,199_0,FAILED,SOBOL,919,1887,32,401,0.588193438468500917615244816261
200,200_0,FAILED,SOBOL,1024,2715,94,192,0.192991759078577157504597039406
201,201_0,FAILED,SOBOL,3099,526,26,997,0.674312160648405600760213474132
202,202_0,FAILED,SOBOL,4851,3909,60,438,0.754103418914601197897695783467
203,203_0,FAILED,SOBOL,1614,1724,23,743,0.362203202571719895530577559839
204,204_0,FAILED,SOBOL,2033,4496,43,516,0.465089050991460695172463601921
205,205_0,FAILED,SOBOL,3806,2309,77,290,0.915221101175993645426842704182
206,206_0,FAILED,SOBOL,3207,3223,9,771,0.527694555195048486950781807536
207,207_0,FAILED,SOBOL,291,1034,73,44,0.104608136378228661067524285500
208,208_0,FAILED,SOBOL,120,3300,31,638,0.850549465175718055753861790436
209,209_0,FAILED,SOBOL,3376,1113,89,427,0.267596416233107425863835260316
210,210_0,RUNNING,SOBOL,3949,4575,21,885,0.164650333233177653680101570899
211,211_0,FAILED,SOBOL,1893,2387,61,174,0.704476666377857330125777934882
212,212_0,FAILED,SOBOL,1766,3833,82,88,0.624252095751464342043846045271
213,213_0,FAILED,SOBOL,4701,1644,38,846,0.010110725166276098019313423038
214,214_0,FAILED,SOBOL,2937,2635,72,342,0.436872198801487698904821854740
215,215_0,FAILED,SOBOL,1184,449,10,599,0.945512359214946584984318178613
216,216_0,FAILED,SOBOL,781,4934,66,809,0.335890639038756488865544724831
217,217_0,FAILED,SOBOL,2759,2120,4,4,0.782368978522717917201134696370
218,218_0,FAILED,SOBOL,4606,3717,88,562,0.647999597115442194095180639124
219,219_0,FAILED,SOBOL,1270,906,44,257,0.221257318686693904563611567937
220,220_0,FAILED,SOBOL,2413,2819,15,484,0.078291795520111923112338558894
221,221_0,FAILED,SOBOL,4088,7,55,711,0.555956337478011874964067828842
222,222_0,FAILED,SOBOL,3588,4113,37,231,0.888904760317876907471656977577
223,223_0,FAILED,SOBOL,576,1300,95,957,0.493350833274424083185749623226
224,224_0,FAILED,SOBOL,501,3040,58,613,0.569459591748192939242301235936
225,225_0,FAILED,SOBOL,3505,225,24,324,0.049124360494315622016614497625
226,226_0,FAILED,SOBOL,4172,4244,92,866,0.382085885001346492462204196272
227,227_0,FAILED,SOBOL,2487,1433,28,77,0.984532177310436962258677340287
228,228_0,FAILED,SOBOL,1365,4830,7,163,0.842663833258673555803852650570
229,229_0,FAILED,SOBOL,4670,2019,75,905,0.291141945954412229013996693539
230,230_0,FAILED,SOBOL,2694,3547,41,409,0.156755655812099575774354320856
231,231_0,FAILED,SOBOL,687,734,78,652,0.728013158030808016363266688131
232,232_0,FAILED,SOBOL,1100,4061,48,942,0.117435358192771677199317537088
233,233_0,FAILED,SOBOL,2862,1875,85,247,0.501293738512322284428535112966
234,234_0,FAILED,SOBOL,4775,2758,1,689,0.928038333155214778535935238324
235,235_0,FAILED,SOBOL,1851,570,69,494,0.438678237037733176340026375328
236,236_0,FAILED,SOBOL,1957,3189,98,267,0.359307193182408834974950195829
237,237_0,FAILED,SOBOL,4043,999,34,540,0.774354393335059287828414653632
238,238_0,FAILED,SOBOL,3283,4413,52,20,0.671421382259577481654844177683
239,239_0,FAILED,SOBOL,54,2227,18,794,0.213247971935197705439790638593
240,240_0,RUNNING,SOBOL,200,4649,86,389,0.956266587959602509805279169086
241,241_0,RUNNING,SOBOL,3144,2459,46,678,0.408398418791592110466126541723
242,242_0,RUNNING,SOBOL,3868,3421,64,135,0.020858771143481134868746806887
243,243_0,RUNNING,SOBOL,2125,1236,6,924,0.595772125538438612757374812645
244,244_0,RUNNING,SOBOL,1685,2524,35,838,0.699751405490562361499939925125
245,245_0,RUNNING,SOBOL,4933,336,97,95,0.183072026412934074635074921389
246,246_0,RUNNING,SOBOL,3018,3828,13,592,0.262880193414166574150669930532
247,247_0,RUNNING,SOBOL,952,1639,57,350,0.868980203859508026908997635473
248,248_0,FAILED,SOBOL,856,3625,19,59,0.472787645827978830759263928485
249,249_0,FAILED,SOBOL,2522,812,63,754,0.891975868804380289667221859418
250,250_0,FAILED,SOBOL,4530,4910,29,313,0.535403147302567994358923897380
251,251_0,FAILED,SOBOL,1507,2096,91,508,0.081372893841937188330604158182
252,252_0,FAILED,SOBOL,2338,4168,70,735,0.247361217536032212960250831202
253,253_0,FAILED,SOBOL,4324,1353,12,461,0.635362754719331901398504669487
254,254_0,FAILED,SOBOL,3664,2960,80,980,0.808467638935893795348874846241
255,255_0,FAILED,SOBOL,339,149,40,207,0.323248565642163143696308225117
256,256_0,FAILED,SOBOL,349,2950,24,650,0.142158804565668095420960526098
257,257_0,FAILED,SOBOL,3655,139,58,408,0.725082358026877038525981333805
258,258_0,FAILED,SOBOL,4334,4177,28,904,0.828022252682596437978190806461
259,259_0,FAILED,SOBOL,2328,1364,92,162,0.288225418737158178839052879994
260,260_0,FAILED,SOBOL,1517,4920,75,77,0.383068659681826850782471183265
261,261_0,FAILED,SOBOL,4521,2105,7,866,0.997178616380319016165856282896
262,262_0,FAILED,SOBOL,2532,3614,78,322,0.570426182672381432148256408254
263,263_0,FAILED,SOBOL,847,803,41,611,0.061817439863458278903607379107
264,264_0,FAILED,SOBOL,942,3819,85,797,0.656809542542323487879230015096
265,265_0,FAILED,SOBOL,3028,1629,48,24,0.210301703859120614481525990414
266,266_0,FAILED,SOBOL,4923,2533,69,543,0.344681080678477858025843261203
267,267_0,FAILED,SOBOL,1695,347,1,269,0.771452854588627778831266823545
268,268_0,FAILED,SOBOL,2116,3431,34,496,0.929036100024357436311106539506
269,269_0,FAILED,SOBOL,3878,1245,99,691,0.451340140461921668357803127947
270,270_0,RUNNING,SOBOL,3135,4638,18,250,0.118386484762653704239099283768
271,271_0,RUNNING,SOBOL,210,2450,52,946,0.513971825692802641860623680259
272,272_0,RUNNING,SOBOL,45,4403,46,350,0.254115978345274939886877518802
273,273_0,RUNNING,SOBOL,3293,2216,86,592,0.864084689149633100591074708063
274,274_0,RUNNING,SOBOL,4033,3198,6,97,0.690972917634993799573805972614
275,275_0,RUNNING,SOBOL,1968,1010,64,839,0.178221241032704702522693196443
276,276_0,RUNNING,SOBOL,1841,2768,97,925,0.027704222146421670497362654828
277,277_0,RUNNING,SOBOL,4785,580,36,136,0.606484841814264652448684955743
278,278_0,RUNNING,SOBOL,2853,4051,56,679,0.963065398663282445923528030107
279,279_0,RUNNING,SOBOL,1110,1866,13,390,0.419127318823710071082899730754
280,280_0,RUNNING,SOBOL,697,3538,63,204,0.799718416055664405028835517442
281,281_0,RUNNING,SOBOL,2684,724,19,978,0.318368515286594655488983107716
282,282_0,RUNNING,SOBOL,4680,4839,90,458,0.238567265326157212923519068681
283,283_0,RUNNING,SOBOL,1355,2029,29,731,0.630496977150440174320067399094
284,284_0,RUNNING,SOBOL,2497,4254,12,505,0.542233609834685936768039482558
285,285_0,RUNNING,SOBOL,4163,1442,70,309,0.092070142045617101023147199612
286,286_0,RUNNING,SOBOL,3515,3029,40,751,0.479601924603804963265218930246
287,287_0,RUNNING,SOBOL,492,216,80,56,0.902719757307320791461791031907
288,288_0,RUNNING,SOBOL,586,4104,67,401,0.035475640168413521968737711632
289,289_0,RUNNING,SOBOL,3579,1290,2,659,0.583312406603246902392356787459
290,290_0,RUNNING,SOBOL,4098,2828,83,154,0.970830641353502832302524439001
291,291_0,FAILED,SOBOL,2404,18,49,912,0.395948685973882663624578981398
292,292_0,RUNNING,SOBOL,1280,3727,16,826,0.308535395273938750637654493403
293,293_0,RUNNING,SOBOL,4596,915,53,115,0.825185260280966725865425814845
294,294_0,RUNNING,SOBOL,2769,4924,32,572,0.745401365196332377216492659500
295,295_0,RUNNING,SOBOL,771,2111,100,361,0.139330865103751422306999074863
296,296_0,RUNNING,SOBOL,1174,2626,26,46,0.518931262150406857891482559353
297,297_0,RUNNING,SOBOL,2947,439,94,773,0.099711640158668166100675023245
298,298_0,RUNNING,SOBOL,4692,3842,23,293,0.456309581626206661741917969266
299,299_0,RUNNING,SOBOL,1776,1654,60,520,0.910371237820014389541256605298
300,300_0,RUNNING,SOBOL,1884,4585,77,746,0.760947947893291676280114188557
301,301_0,RUNNING,SOBOL,3959,2396,43,442,0.372916900357231517748601845597
302,302_0,RUNNING,SOBOL,3366,3289,73,1000,0.199791551291942592882833196199
303,303_0,RUNNING,SOBOL,130,1104,9,195,0.685040138656273445150191037101
304,304_0,RUNNING,SOBOL,282,3213,89,601,0.422261221623048188522631107844
305,305_0,RUNNING,SOBOL,3217,1024,31,343,0.942565050143748472954996486806
306,306_0,RUNNING,SOBOL,3797,4505,61,847,0.609624942252412482801560145163
307,307_0,RUNNING,SOBOL,2043,2319,21,89,0.007210048958659172162188877309
308,308_0,RUNNING,SOBOL,1604,3920,38,174,0.165647237563505772550698225132
309,309_0,RUNNING,SOBOL,4861,1733,82,885,0.717139610797166815459036115499
310,310_0,RUNNING,SOBOL,3089,2704,11,429,0.851501632740721103864700580743
311,311_0,RUNNING,SOBOL,1034,517,72,640,0.280273640874773244391349180660
312,312_0,RUNNING,SOBOL,929,4689,4,954,0.874308771610259993778413445398
313,313_0,RUNNING,SOBOL,2603,1877,65,227,0.490418992275372167544134072159
314,314_0,RUNNING,SOBOL,4448,3493,45,708,0.063649173948913811971195286787
315,315_0,RUNNING,SOBOL,1436,680,88,482,0.553040672799572363693698662246
316,316_0,RUNNING,SOBOL,2265,3064,55,255,0.648981509257107957999721747910
317,317_0,FAILED,SOBOL,4244,250,15,560,0.233904798751696951786271938545
318,318_0,FAILED,SOBOL,3747,4337,95,1,0.336858270958065975086981325148
319,319_0,FAILED,SOBOL,411,1526,37,805,0.795061195353046090694704162161
320,320_0,FAILED,SOBOL,452,4967,98,226,0.587225462649017537763995733258
321,321_0,FAILED,SOBOL,3708,2155,34,969,0.047154400845989583035411385481
322,322_0,FAILED,SOBOL,4281,3684,51,473,0.399828430175781235345056074948
323,323_0,FAILED,SOBOL,2226,870,19,715,0.982538906807079892580247815204
324,324_0,FAILED,SOBOL,1473,2864,49,551,0.813507689312100379375181091746
325,325_0,FAILED,SOBOL,4408,50,84,262,0.304624956587329520640849978008
326,326_0,FAILED,SOBOL,2644,4068,1,804,0.127621885824948544385648574462
327,327_0,FAILED,SOBOL,891,1258,68,15,0.741518527751788503188379308995
328,328_0,FAILED,SOBOL,1074,3325,8,330,0.103624934146180749938714882319
329,329_0,FAILED,SOBOL,3052,1136,75,604,0.530609784886240998247330935556
330,330_0,RUNNING,SOBOL,4899,4549,42,84,0.914251219963654881972558996495
331,331_0,RUNNING,SOBOL,1563,2364,77,857,0.468017609138041745797664816564
332,332_0,RUNNING,SOBOL,2082,3886,57,880,0.361239091446623195036380593592
333,333_0,RUNNING,SOBOL,3756,1699,25,185,0.757037747148424422505286202068
334,334_0,RUNNING,SOBOL,3257,2583,92,627,0.673330921435728702029166470311
335,335_0,RUNNING,SOBOL,245,394,28,432,0.195908951789140695076696374599
336,336_0,RUNNING,SOBOL,89,2660,70,774,0.946480277407914405429778526013
337,337_0,RUNNING,SOBOL,3405,473,13,32,0.433941677635535594248494817293
338,338_0,RUNNING,SOBOL,3921,3964,79,529,0.011095771446824075068260384569
339,339_0,RUNNING,SOBOL,1924,1776,41,286,0.621338710108771952178585706861
340,340_0,RUNNING,SOBOL,1739,4473,21,450,0.705456061542034107425536149094
341,341_0,RUNNING,SOBOL,4731,2283,62,740,0.161731296474114050187864677355
342,342_0,RUNNING,SOBOL,2906,3246,30,196,0.268562490377575180389158049366
343,343_0,FAILED,SOBOL,1213,1059,90,985,0.847617099961265885177397194639
344,344_0,FAILED,SOBOL,732,4305,36,671,0.494333981597796068285788351204
345,345_0,FAILED,SOBOL,2806,1490,96,398,0.885989465564489320215102452494
