trial_index,arm_name,trial_status,generation_node,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
31,31_0,FAILED,SOBOL,919,0.695638066630810514290317314590,0.662193682702258201722145258827,1950,1368,402
32,32_0,FAILED,SOBOL,857,0.161287206096574653457764725317,0.847403382733464272114076720754,1033,3230,673
33,33_0,FAILED,SOBOL,4939,0.974115905772894641323489395290,0.100818340661004188230087663669,2739,914,3998
34,34_0,FAILED,SOBOL,3069,0.431169769736006847082876447530,0.704368006935343182739472922549,1441,1759,3520
35,35_0,FAILED,SOBOL,1448,0.744997521363198744737132983573,0.456805805411189813636241296990,4714,4094,1777
36,36_0,FAILED,SOBOL,2417,0.364638677578419445612922800137,0.216931167893111703781627852550,3958,4735,391
37,37_0,FAILED,SOBOL,3374,0.553715910566970670458886161214,0.967391810635104820725871377363,2233,2383,4946
38,38_0,FAILED,SOBOL,4014,0.102398802690207957333257127175,0.352146768657490616405425498670,3589,259,2610
39,39_0,FAILED,SOBOL,517,0.790476983727887216879537390923,0.603630251947790408273419870966,297,2630,2098
40,40_0,FAILED,SOBOL,226,0.492878619298338871423936780047,0.293799678066745395543790664306,1978,1173,1447
41,41_0,FAILED,SOBOL,4308,0.681948583910241712402466873755,0.545267929367721060351925643772,4330,3586,3219
42,42_0,FAILED,SOBOL,3698,0.224823451954871411651026846812,0.150756686273962270394832785314,472,3815,4303
43,43_0,FAILED,SOBOL,2076,0.912894357180222826286808412988,0.901263010112568707654645550065,3141,1423,989
44,44_0,FAILED,SOBOL,1795,0.041794121781364081125165199637,0.645792492272332263603118462925,3032,2094,2415
45,45_0,FAILED,SOBOL,2753,0.854614623621106184181428488955,0.398184602215886140896827782854,701,4388,2918
46,46_0,FAILED,SOBOL,4632,0.301962948029860844822991339242,0.781000477042049223719288875145,4500,2899,4644
47,47_0,FAILED,SOBOL,1137,0.615782509256154297894170213112,0.034430659523233771157624261150,1850,625,60
48,48_0,FAILED,SOBOL,968,0.273398530805483486183504737710,0.512444980489090040620681065775,3746,4253,2984
49,49_0,FAILED,SOBOL,4503,0.583327242642641019543248148693,0.264981759011745476861676706903,140,1605,2314
50,50_0,FAILED,SOBOL,2643,0.011143420210108161139128668538,0.929809993457049177578710441594,3803,761,291
51,51_0,FAILED,SOBOL,1568,0.820073094967752713735364977765,0.183369616245850908242687182792,2389,3388,4378
52,52_0,FAILED,SOBOL,1913,0.194050909340381633194638766327,0.427142758185043935892366562257,1284,2785,3305
53,53_0,FAILED,SOBOL,3573,0.878231017226353327664867265412,0.678481569178402410535966282623,4871,100,1405
54,54_0,FAILED,SOBOL,4203,0.463948708686977628889991365213,0.001957966465502977530810380102,1189,2224,1240
55,55_0,FAILED,SOBOL,4,0.649127853652462394329347716848,0.752319621725007880996827225317,2583,4888,4096
56,56_0,FAILED,SOBOL,349,0.074801373269408943933456157538,0.068117219813168053410556979088,4655,1268,4705
57,57_0,FAILED,SOBOL,3885,0.758973491517826892582831987966,0.818463650519028251828501652199,1695,3975,588
58,58_0,FAILED,SOBOL,3264,0.334985435225069516640417077724,0.485474620504304787971250334522,2875,3744,2003
59,59_0,FAILED,SOBOL,2190,0.520156597988679969546410575276,0.736859120029956127240211571916,857,1020,2662
60,60_0,FAILED,SOBOL,1285,0.401394686339423045762231367917,0.996228127419948594756249349302,317,466,3776
61,61_0,FAILED,SOBOL,2944,0.711316397484391904626477298734,0.249742069112136949593505619305,3296,3053,929
62,62_0,FAILED,SOBOL,4834,0.133324283288791783919080558007,0.571035723423585328539786587498,2135,4542,1701
63,63_0,FAILED,SOBOL,634,0.942246949918568166282284437330,0.323587733935564780818339158941,4173,1936,3630
64,64_0,FAILED,SOBOL,667,0.101165467919781801309220270468,0.610767776438966403240726776858,1666,883,4143
65,65_0,FAILED,SOBOL,4789,0.785344901017844709834037075780,0.363281712554395175285293362322,4643,3256,1150
66,66_0,FAILED,SOBOL,2909,0.371170813215896511216840281122,0.940897695694118740838973735663,784,4110,1296
67,67_0,FAILED,SOBOL,1327,0.556351194363087442340543020691,0.194449704347178342622726177069,2829,1758,3370
68,68_0,FAILED,SOBOL,2233,0.429509613953530766661259576722,0.445776002021506412287266130079,3345,2384,4483
69,69_0,FAILED,SOBOL,3229,0.739439476462081080043731162732,0.697122427150607126833392612753,388,4720,221
70,70_0,FAILED,SOBOL,3839,0.167394416820257907474456260388,0.123404944714158776308821074963,4187,2605,2264
71,71_0,FAILED,SOBOL,382,0.976323331279680184380254104326,0.873789442380890291062200958550,2162,289,3069
72,72_0,FAILED,SOBOL,49,0.307033111978322281743203348015,0.057276144191622732626534286737,95,3525,3681
73,73_0,FAILED,SOBOL,4170,0.616955936616286670926001534099,0.807614960761740774408679044427,3676,1249,1616
74,74_0,FAILED,SOBOL,3531,0.039098807886242870068826960051,0.387413679441437119876923134143,2378,1470,824
75,75_0,FAILED,SOBOL,1948,0.848020691910758572795714371750,0.638775336559861850460606547131,3777,3763,3846
76,76_0,FAILED,SOBOL,1604,0.230443177675828336781194138894,0.874510014556348358460979852680,4896,4441,2772
77,77_0,FAILED,SOBOL,2601,0.914614658314734652044819540606,0.128046798655763266472362715831,1295,2047,1937
78,78_0,FAILED,SOBOL,4470,0.490730985948815923158861096454,0.552146573243662674990162031463,2652,548,542
79,79_0,FAILED,SOBOL,1014,0.675903407201170924878397272551,0.304706197891384367171241365213,1234,2961,4795
80,80_0,FAILED,SOBOL,1104,0.458877250930294411368493001646,0.773954964436590620024958298018,4343,1598,2164
81,81_0,FAILED,SOBOL,4678,0.647955720100551801898802750657,0.027347079956904055825228638810,2007,4264,2501
82,82_0,FAILED,SOBOL,2788,0.196746832961216561175277206530,0.668434494925662869846405556018,3188,3409,4856
83,83_0,FAILED,SOBOL,1753,0.884824339210987131920660431206,0.420864679265767316351798399410,545,725,437
84,84_0,FAILED,SOBOL,2034,0.005524274472147226722196222681,0.157843002170324320232452919299,629,135,1862
85,85_0,FAILED,SOBOL,3733,0.818352213850244925019694619550,0.908311259048059538301345128275,2984,2764,3469
86,86_0,FAILED,SOBOL,4353,0.275544840604066865186183576952,0.271122337346896502552340280090,1822,4878,3927
87,87_0,FAILED,SOBOL,193,0.589373742902651431840865825507,0.522628663044422903105612476793,4486,2230,778
88,88_0,FAILED,SOBOL,472,0.134558465726673598394924624699,0.329499888198450219256585569383,2809,3918,130
89,89_0,FAILED,SOBOL,4047,0.947378184961155000998189734673,0.580960525363683699673345017800,1077,1310,4540
90,90_0,FAILED,SOBOL,3416,0.394861494835466120267852829784,0.223987030964344746575278577438,4740,1091,2832
91,91_0,FAILED,SOBOL,2382,0.708682169554755048146432727663,0.974470512395724686172115980298,1451,3678,2466
92,92_0,FAILED,SOBOL,1413,0.336644505398347948510462401828,0.727040469849482229314219239313,2221,3120,1078
93,93_0,FAILED,SOBOL,3111,0.525715728498995282791383942822,0.479455422200262548759752689875,3934,394,4258
94,94_0,FAILED,SOBOL,4972,0.068694980470463629096400381968,0.840327417302876744642503581417,251,1893,3153
95,95_0,FAILED,SOBOL,811,0.756765248086303521368733981944,0.093765213919803497288896210193,3521,4599,1557
96,96_0,FAILED,SOBOL,886,0.355509584425017233222376944468,0.403703711111098539898733861264,4438,160,2370
97,97_0,FAILED,SOBOL,4890,0.540689742501825110210234015540,0.655141507728025263013194035011,1793,2573,2960
98,98_0,FAILED,SOBOL,3039,0.116644150780513877752042617431,0.040916763657703997258963113381,3092,4834,4670
99,99_0,FAILED,SOBOL,1497,0.800823360808193718263225946430,0.791331716008484398194866571430,755,2440,36
100,100_0,FAILED,SOBOL,2446,0.183088243629783403720878709464,0.535861183296889032057208623883,573,1858,1424
101,101_0,FAILED,SOBOL,3325,0.992016905276104754562993548461,0.288344664728268973430402866143,3238,4151,3245
102,102_0,FAILED,SOBOL,3984,0.413998808957636355021492136075,0.890874040530994504294426405977,1879,3131,4346
103,103_0,FAILED,SOBOL,566,0.723928418653085881118158795289,0.144334677696228014243118309423,4236,856,943
104,104_0,FAILED,SOBOL,255,0.055064795434474948787606507494,0.957246489679440815123712127388,3491,2841,336
105,105_0,FAILED,SOBOL,4258,0.863986456388607604317542154604,0.210752815376967189697765547862,203,526,4999
106,106_0,FAILED,SOBOL,3668,0.291859187874943026841378923564,0.594467154502868688759065207705,4060,2152,2646
107,107_0,FAILED,SOBOL,2125,0.601781789442524361888331441151,0.346935411380603908604314256081,2329,4488,2065
108,108_0,FAILED,SOBOL,1824,0.474732876265421488426454743603,0.107060788733884693080256056419,1500,3873,640
109,109_0,FAILED,SOBOL,2704,0.659905044704675702860185992904,0.857490973073989137809292060410,4769,1521,4033
110,110_0,FAILED,SOBOL,4603,0.245649699797853837690553291395,0.462081258244812498325870819826,970,1115,3572
111,111_0,FAILED,SOBOL,1185,0.929820927623659421179524997569,0.713473373765125873369186138007,2682,3488,1722
112,112_0,FAILED,SOBOL,1075,0.212212220827117575838727248083,0.240271231202408674931803034269,2036,2282,3821
113,113_0,FAILED,SOBOL,4376,0.900289504006504981425962341746,0.990830855850130309825374297361,4079,4988,886
114,114_0,FAILED,SOBOL,2535,0.443107550447806697313524182391,0.313134672515094303335558834078,417,2727,1676
115,115_0,FAILED,SOBOL,1695,0.632185796547681144730290725420,0.564671456614509237326160473458,3393,1,3653
116,116_0,FAILED,SOBOL,2020,0.260112050756812096530268263450,0.824040478875860515906026648736,2936,703,4728
117,117_0,FAILED,SOBOL,3446,0.573940700242295820387994353950,0.077402135994285345410581555825,912,3290,563
118,118_0,FAILED,SOBOL,4095,0.021261852819472553538515668947,0.743402943626046197600487630552,4593,4311,1960
119,119_0,FAILED,SOBOL,131,0.834089539384469391691823147994,0.495741760196164227281201419828,1637,1704,2707
120,120_0,FAILED,SOBOL,456,0.379579099040478484816674153990,0.684781744148582172115879984631,1126,4641,3360
121,121_0,FAILED,SOBOL,3757,0.693399550689384303048257152113,0.437166241815313716401192323247,2526,1994,1353
122,122_0,FAILED,SOBOL,3156,0.150511158280074608395437962827,0.757652801455929836293989865226,1344,367,1204
123,123_0,FAILED,SOBOL,2317,0.963330654444172984618433019932,0.010999226585030556085920139253,4926,2996,4129
124,124_0,FAILED,SOBOL,1392,0.083945254130288957106209579706,0.254772353652864713691172937615,3904,3646,3017
125,125_0,FAILED,SOBOL,2817,0.772015268933027964948223598185,0.506324362305924258187417308363,2485,962,2279
126,126_0,FAILED,SOBOL,4727,0.320724410863593212273059407380,0.174142434397712347893261153331,3648,1367,239
127,127_0,FAILED,SOBOL,761,0.509795381151139759268176021578,0.924656370513141201428197746282,46,4032,4433
128,128_0,FAILED,SOBOL,765,0.221755403250455868091606248527,0.267813624512404202526738572487,3424,1720,1782
129,129_0,FAILED,SOBOL,4691,0.905927004719152995093622848799,0.519358019029721562631607412186,462,4133,3555
130,130_0,FAILED,SOBOL,2850,0.499601408544927849675332254265,0.160861637996509682091428317108,4106,3269,4012
131,131_0,FAILED,SOBOL,1386,0.684773950627073690888835244550,0.911383188247680608995437978592,2085,875,696
132,132_0,FAILED,SOBOL,2330,0.301102102691307660364827825106,0.663953443128615594659436283109,1586,298,2084
133,133_0,FAILED,SOBOL,3130,0.611024092674255392410032072803,0.416330326659604899042221859418,4568,2591,2587
134,134_0,FAILED,SOBOL,3781,0.046797101577743888123350757269,0.778725089425221117522823988111,866,4696,4941
135,135_0,FAILED,SOBOL,440,0.855718150947243016979371077468,0.032079128690063955786637706069,2906,2422,356
136,136_0,FAILED,SOBOL,146,0.435943396000191552008828921316,0.837072239501401749173226107814,4978,3776,1004
137,137_0,FAILED,SOBOL,4072,0.745873613562434867318984288431,0.090441510755568749191368738138,1372,1461,4329
138,138_0,FAILED,SOBOL,3472,0.160168439345434315823624160657,0.730127865262329533990737218119,2573,1212,3224
139,139_0,FAILED,SOBOL,2006,0.969097708858549622412681401329,0.482459067696705434791226707603,1160,3547,1480
140,140_0,FAILED,SOBOL,1701,0.109350945468991989084628357887,0.219437212144955984260974446443,14,2938,55
141,141_0,FAILED,SOBOL,2502,0.793529785571619905581997045374,0.970004450928419803545921240584,3600,586,4611
142,142_0,FAILED,SOBOL,4411,0.361828550286591055229479252375,0.334216470718383784621607901499,2457,2055,2903
143,143_0,FAILED,SOBOL,1072,0.547008338438346952692370450677,0.585745640682056589731985241087,3851,4428,2390
144,144_0,FAILED,SOBOL,1201,0.329967189978808139727561865584,0.119366016557440168810444447445,711,722,4413
145,145_0,FAILED,SOBOL,4579,0.519037820084020440347671865311,0.869788586761802484659256151645,3061,3427,297
146,146_0,FAILED,SOBOL,2730,0.075677424572408197311901290050,0.450013637557625745255762694796,1743,4292,2339
147,147_0,FAILED,SOBOL,1811,0.763747099192813028167847733130,0.701413367213681304690453544026,4411,1566,2998
148,148_0,FAILED,SOBOL,2131,0.126616759492084396399036450021,0.937147866753861302768768837268,4261,2264,4072
149,149_0,FAILED,SOBOL,3635,0.939436833780258884196712187986,0.190646578315645465195871111064,1930,4849,1226
150,150_0,RUNNING,SOBOL,4294,0.404447529079392575912521579085,0.614319901816546942718844093179,3267,2745,1370
151,151_0,FAILED,SOBOL,252,0.718268558852374505718785258068,0.366795772830024346955468672604,619,139,3299
152,152_0,FAILED,SOBOL,570,0.013968753466382623912300786628,0.548160707954317372170294220268,2300,3706,2687
153,153_0,RUNNING,SOBOL,3949,0.826795858189463661602758293157,0.300651803521439442423712762320,4008,1059,2018
154,154_0,RUNNING,SOBOL,3358,0.266431122576817891456357756397,0.878815944949165039901117779664,169,1307,622
155,155_0,FAILED,SOBOL,2440,0.580259190220385745462294835306,0.132268967978656282191707305174,3444,3936,4709
156,156_0,FAILED,SOBOL,1510,0.465052269473671897603850311498,0.383595563080161794378142303685,2730,4581,3596
157,157_0,FAILED,SOBOL,3013,0.654130859473720183139278105955,0.635040973832830757395129239740,1003,1897,1697
158,158_0,RUNNING,SOBOL,4913,0.189292548526078463488886427513,0.060775214137509463163677736475,4822,427,904
159,159_0,FAILED,SOBOL,870,0.877370175605639790461509619490,0.811182552352547658891523951752,1528,3092,3761
160,160_0,FAILED,SOBOL,788,0.484379673022776846558201668813,0.746901270003989314893999562628,491,2444,4813
161,161_0,RUNNING,SOBOL,4988,0.669552438175305741907550327596,0.499308608219027505459308713398,3161,4816,482
162,162_0,FAILED,SOBOL,3098,0.237768756076693538181743292625,0.820221618946641695124810667039,1959,2545,1880
163,163_0,RUNNING,SOBOL,1438,0.921940580615773774830756792653,0.073667029699310659918154442494,4311,193,2793
164,164_0,FAILED,SOBOL,2349,0.061986239081248645232946614669,0.317440335223451275403760973859,4519,824,3906
165,165_0,RUNNING,SOBOL,3423,0.870907541263848505863620630407,0.568893358252942515917993659968,1870,3159,805
166,166_0,RUNNING,SOBOL,4043,0.285120872000232339349423682506,0.236285098228603607228848204613,3013,4169,1595
167,167_0,FAILED,SOBOL,507,0.595043114796280914191584088258,0.986776193795725675705909907265,680,1855,3739
168,168_0,FAILED,SOBOL,158,0.175694487484171990576697908182,0.177694292090833177999442682449,1421,4459,3087
169,169_0,RUNNING,SOBOL,4356,0.984623980067670379057176432980,0.928170163104310663726437269361,4695,2185,2203
170,170_0,RUNNING,SOBOL,3727,0.420234355790540581310210654920,0.251022257028147566249032252017,1052,530,163
171,171_0,FAILED,SOBOL,2067,0.730164796423167006267362921790,0.502520968589931671388626455155,2759,2823,4505
172,172_0,RUNNING,SOBOL,1727,0.346334624283015701795562790721,0.761889693424105618468900047446,3570,3506,3430
173,173_0,FAILED,SOBOL,2802,0.531514665247872497566561378335,0.015289423080161214374417255613,277,1112,1276
174,174_0,RUNNING,SOBOL,4662,0.125027387659996741531287511862,0.680742072423920041579492590245,3978,1488,1129
175,175_0,FAILED,SOBOL,1127,0.809206480575725417558885510516,0.433164642628282303693509902587,2252,3901,4201
176,176_0,FAILED,SOBOL,978,0.091582305707037445219320659362,0.895591366618871731475337583106,2856,39,1499
177,177_0,RUNNING,SOBOL,4473,0.779652203397825371844476194383,0.149120536582544455095344915208,837,2704,3173
178,178_0,FAILED,SOBOL,2594,0.314732159461826088708846782538,0.531312108045443931558793337899,4675,4974,4276
179,179_0,RUNNING,SOBOL,1637,0.503803012637421443464802450762,0.283879346828907752620096971441,1714,2290,1020
180,180_0,FAILED,SOBOL,3627,0.671357493042945896455364618305,0.079150663897395140411461511576,983,347,3480
181,181_0,FAILED,SOBOL,1240,0.176329649727791554214562097513,0.518854081656783816534073139337,3347,3872,1130
182,182_0,FAILED,SOBOL,2247,0.861295536980032916396510245249,0.472354137351736425021186960294,1493,3526,1977
183,183_0,FAILED,SOBOL,4771,0.358204356444999594266676012921,0.906251920673996180788378751458,4170,1944,4666
184,184_0,FAILED,SOBOL,3879,0.921474675813689803050010596053,0.668837057033553672447112603550,4812,1767,2529
185,185_0,FAILED,SOBOL,1257,0.418390178095549347681014751288,0.233246286615729325752965905849,2175,2765,208
186,186_0,FAILED,SOBOL,271,0.606306206122040780570614515455,0.779415443928912266002839714929,2666,4996,1688
187,187_0,FAILED,SOBOL,2717,0.111269859177991745080582575156,0.341894214980304256279453056777,340,786,4328
188,188_0,FAILED,SOBOL,3118,0.758089892070740511975657227595,0.874129075404256550285708726733,2215,4197,4972
189,189_0,FAILED,SOBOL,495,0.270874214300885818307307317809,0.309553679971024398032142244119,4538,23,2293
190,190_0,FAILED,SOBOL,1658,0.708289766443893298308864814317,0.699237950447946787768671583763,303,2254,813
191,191_0,FAILED,SOBOL,4104,0.197386503085494047216030821801,0.140468489667400719955736576594,2938,3216,3174
192,192_0,FAILED,SOBOL,4389,0.522866887342184782916376661888,0.378126797452568996771304909998,3542,3075,4021
193,193_0,FAILED,SOBOL,2001,0.011970265904441477339270605285,0.938102357039228063051439221454,867,1457,1372
194,194_0,FAILED,SOBOL,860,0.946437580807134470894936839613,0.049236178241670133792773356163,3973,1110,524
195,195_0,FAILED,SOBOL,3384,0.459213298097252864415906969953,0.611141660990193513747215092735,1612,4672,2835
196,196_0,FAILED,SOBOL,3278,0.980570763323456051629989360663,0.270869945291429770062308080014,2591,2125,1456
197,197_0,FAILED,SOBOL,646,0.485505885677412152290344238281,0.834843584200367305747647606040,581,3658,3778
198,198_0,FAILED,SOBOL,2122,0.547208304306492254731608682050,0.164167131181806313922066919986,4893,3936,3079
199,199_0,FAILED,SOBOL,4578,0.044156203843653200891150589769,0.722320083050057237805674503761,1945,596,439
200,200_0,FAILED,SOBOL,4238,0.736529667381197183928520644258,0.977517046891152818766101972869,1264,771,2380
201,201_0,FAILED,SOBOL,1840,0.233470809744670992902371153832,0.416681333484128113564537443381,4251,4699,4731
202,202_0,FAILED,SOBOL,386,0.796121584584936536899135717249,0.588173974648118047525713336654,1223,2555,3415
203,203_0,FAILED,SOBOL,2920,0.301065189190208915004376422075,0.025423090467229486622002809781,3272,1665,726
204,204_0,FAILED,SOBOL,2539,0.572201565461233241371985513979,0.557659880449995370987892329140,3901,3357,121
205,205_0,FAILED,SOBOL,141,0.084948707435280088051676727900,0.118314088199287653635494166338,1849,2425,2770
206,206_0,FAILED,SOBOL,1460,0.897100909925997225258242906420,0.882674867389723671884382838471,3625,281,4086
207,207_0,FAILED,SOBOL,3994,0.386236611386761075070950255395,0.449150416519492889921849609891,636,4251,1775
208,208_0,FAILED,SOBOL,4978,0.833023264812305597182273686485,0.194196837337687611135805809681,72,4384,1045
209,209_0,FAILED,SOBOL,2346,0.322152398709207754556871350360,0.629917280428111570067528646177,3022,1086,3724
210,210_0,FAILED,SOBOL,1048,0.633354341454803959621244757727,0.365227617779746660531259294658,2452,1365,4422
211,211_0,FAILED,SOBOL,3504,0.146110132982954388225493858045,0.802862815245986016776669202955,4465,2855,2062
212,212_0,FAILED,SOBOL,3535,0.853077636150643248136304919171,0.703534333428368019447418646450,3169,874,1850
213,213_0,FAILED,SOBOL,981,0.365935175657272349081239326551,0.144882677976042040235427066364,1159,4908,4166
214,214_0,FAILED,SOBOL,2495,0.678481820132583401949943890941,0.846335467664524943032233750273,4305,2677,2690
215,215_0,FAILED,SOBOL,4873,0.167743162268772727507837316807,0.281855466421693567902195809438,1357,1855,46
216,216_0,FAILED,SOBOL,3982,0.614884107230231125029717986763,0.045609848501160739353554873787,1999,2012,2149
217,217_0,FAILED,SOBOL,1507,0.104154095202684399135151238625,0.607884812019765408130922423879,4986,3457,4494
218,218_0,FAILED,SOBOL,12,0.913750479932874393185215922131,0.404763050982728578297553667653,478,3804,3651
219,219_0,FAILED,SOBOL,2624,0.426601455593481670991451437658,0.965130532220005998844669647951,2528,416,958
220,220_0,FAILED,SOBOL,2869,0.700056598305702215689905187901,0.499123636398464465280255808466,4401,4603,352
221,221_0,FAILED,SOBOL,393,0.205132589606568216389348435769,0.933146850338205657848789087438,2349,1179,3006
222,222_0,FAILED,SOBOL,1750,0.765229450220242135571879771305,0.075634734477847812006423566800,3115,1526,3850
223,223_0,FAILED,SOBOL,4362,0.262272519018501071297322368991,0.515486829577013860870238204370,125,3007,1543
224,224_0,FAILED,SOBOL,4648,0.955030730634927715883009113895,0.751488586954772497250587548479,728,3128,651
225,225_0,FAILED,SOBOL,2095,0.452082285402342687330445869520,0.314329250665381532137132580829,3679,2342,3335
226,226_0,FAILED,SOBOL,757,0.515127502227202049844834164105,0.673023033186793351312360300653,1786,111,4811
227,227_0,FAILED,SOBOL,3135,0.020196732636541127325902067469,0.237770881751552226601731376832,3799,4109,2455
228,228_0,FAILED,SOBOL,3332,0.539486034266650649193763911171,0.893862074818462137848484871938,404,1596,3243
229,229_0,FAILED,SOBOL,867,0.052365525757893917335739075725,0.460440137801691906638268392271,2769,2623,897
230,230_0,FAILED,SOBOL,1911,0.989150605143979233524476057937,0.538569201979786194023347434268,2082,4767,2209
231,231_0,FAILED,SOBOL,4514,0.478388210732489826959579204413,0.099334087958559399988978100282,4759,703,4903
232,232_0,FAILED,SOBOL,4175,0.803247801266610661485856326181,0.352883067294955277137802340803,4077,508,2917
233,233_0,FAILED,SOBOL,1631,0.292476805632933989365085380996,0.790903044441714886403360651457,1439,4024,601
234,234_0,FAILED,SOBOL,605,0.728313647778704775781477565033,0.213957550458610062937836460151,3411,3745,1295
235,235_0,FAILED,SOBOL,2973,0.241199777472764248509307094537,0.650054638596251566085015838325,1086,2037,3940
236,236_0,FAILED,SOBOL,2749,0.889363376295194019149903397192,0.184045865265652530684548082718,1714,2943,4584
237,237_0,FAILED,SOBOL,205,0.394461196891963461474972518772,0.742339420255273552129438030533,4037,1277,1900
238,238_0,FAILED,SOBOL,1406,0.580796611387282557537048433005,0.258651029905304308265101553843,813,998,1206
239,239_0,FAILED,SOBOL,3774,0.077815828384831545183608625393,0.822758178297430253778088626859,3449,4471,3561
240,240_0,FAILED,SOBOL,4758,0.640495810573920576480588806589,0.568965278932824780611099413363,2885,4319,4258
241,241_0,FAILED,SOBOL,2292,0.137506496988236914802428145777,0.006561107471585273485936706805,210,213,1604
242,242_0,FAILED,SOBOL,1111,0.824792052257806052040223221411,0.988578622939065065899910678127,4640,2357,292
243,243_0,FAILED,SOBOL,3713,0.329896559389308119403239061285,0.428096686147153404622400785229,2278,3426,2598
244,244_0,FAILED,SOBOL,3698,0.907185922874137795623994406924,0.950196799151599380550692330871,4004,4862,4053
245,245_0,FAILED,SOBOL,1164,0.435662969574332259448112836253,0.389485796960070740357906515783,1678,921,1341
246,246_0,FAILED,SOBOL,2307,0.621507703583687565185300627491,0.623171650633215890024985128548,3494,1824,477
247,247_0,FAILED,SOBOL,4705,0.095155368098989126512954328518,0.060537804046645764255440980151,856,2708,2882
248,248_0,FAILED,SOBOL,3799,0.685592221124097678242037545715,0.298253901932388543194463181862,175,3503,4925
249,249_0,FAILED,SOBOL,1342,0.159231280699372285125647863424,0.862101045062765525273107414250,2852,1967,2340
250,250_0,FAILED,SOBOL,181,0.846026214968413126094048948289,0.129111456897109760921793508714,2321,448,844
251,251_0,FAILED,SOBOL,2812,0.374509903589263559720023977206,0.687145348666235777912447701965,4685,3771,3142
252,252_0,FAILED,SOBOL,3037,0.506614163264632266781006819656,0.221395229162648310428096465330,2811,1250,2576
253,253_0,FAILED,SOBOL,581,0.027309542788192631840304969160,0.657234672866761737708429791383,449,4532,161
254,254_0,FAILED,SOBOL,1567,0.963603049406781764218976604752,0.330108145365491489897635801753,4723,3014,1657
