trial_index,arm_name,trial_status,generation_node,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
75,75_0,ABANDONED,SOBOL,862,3,225,1788,647
76,76_0,ABANDONED,SOBOL,745,0,46,1675,759
77,77_0,ABANDONED,SOBOL,1714,3,472,450,1473
78,78_0,ABANDONED,SOBOL,1116,1,167,1495,1669
79,79_0,ABANDONED,SOBOL,84,4,351,629,63
80,80_0,ABANDONED,SOBOL,27,1,125,1896,1138
81,81_0,ABANDONED,SOBOL,1057,4,426,228,595
82,82_0,FAILED,SOBOL,1647,0,246,1218,291
83,83_0,ABANDONED,SOBOL,680,3,305,908,1941
84,84_0,ABANDONED,SOBOL,811,0,497,553,1586
85,85_0,FAILED,SOBOL,1779,2,48,1323,177
86,86_0,ABANDONED,SOBOL,1425,2,368,372,997
87,87_0,ABANDONED,SOBOL,394,4,177,1502,1267
88,88_0,ABANDONED,SOBOL,250,1,328,1436,741
89,89_0,ABANDONED,SOBOL,1282,3,129,689,1026
90,90_0,ABANDONED,SOBOL,1888,1,449,1741,1830
91,91_0,ABANDONED,SOBOL,919,3,8,385,437
92,92_0,ABANDONED,SOBOL,536,2,200,30,36
93,93_0,ABANDONED,SOBOL,1504,4,251,1846,1702
94,94_0,ABANDONED,SOBOL,1166,0,71,833,1382
95,95_0,ABANDONED,SOBOL,135,2,380,1041,854
96,96_0,ABANDONED,SOBOL,183,2,284,1547,1524
97,97_0,FAILED,SOBOL,1151,4,233,327,240
98,98_0,FAILED,SOBOL,1554,0,413,1368,934
99,99_0,ABANDONED,SOBOL,523,2,104,507,1329
100,100_0,ABANDONED,SOBOL,905,1,159,894,1200
101,101_0,FAILED,SOBOL,1935,3,357,1232,532
102,102_0,ABANDONED,SOBOL,1268,1,37,214,353
103,103_0,ABANDONED,SOBOL,301,4,478,1910,1879
104,104_0,ABANDONED,SOBOL,407,0,19,1024,97
105,105_0,ABANDONED,SOBOL,1375,2,468,850,1639
106,106_0,ABANDONED,SOBOL,1794,1,148,1829,1445
107,107_0,ABANDONED,SOBOL,763,4,338,46,792
108,108_0,ABANDONED,SOBOL,629,1,393,433,678
109,109_0,ABANDONED,SOBOL,1661,4,91,1693,1090
110,110_0,ABANDONED,SOBOL,1010,0,272,737,1767
111,111_0,ABANDONED,SOBOL,41,3,213,1387,500
112,112_0,ABANDONED,SOBOL,100,0,439,155,1300
113,113_0,ABANDONED,SOBOL,1067,3,13,1969,968
114,114_0,FAILED,SOBOL,1726,1,318,961,147
115,115_0,ABANDONED,SOBOL,696,4,134,1165,1620
116,116_0,ABANDONED,SOBOL,814,2,67,1310,1975
117,117_0,FAILED,SOBOL,1845,4,390,566,260
118,118_0,ABANDONED,SOBOL,1449,0,196,1613,566
119,119_0,ABANDONED,SOBOL,481,2,261,261,1170
120,120_0,ABANDONED,SOBOL,374,1,236,679,822
121,121_0,ABANDONED,SOBOL,1343,3,309,1445,1410
122,122_0,ABANDONED,SOBOL,1987,1,115,500,1732
123,123_0,ABANDONED,SOBOL,955,3,430,1626,1
124,124_0,ABANDONED,SOBOL,589,0,364,1770,404
125,125_0,ABANDONED,SOBOL,1620,2,187,106,1861
126,126_0,FAILED,SOBOL,1209,2,492,1090,1055
127,127_0,ABANDONED,SOBOL,241,4,58,784,708
128,128_0,ABANDONED,SOBOL,243,0,370,1176,1219
129,129_0,FAILED,SOBOL,1211,3,178,948,513
130,130_0,ABANDONED,SOBOL,1614,1,499,1997,317
131,131_0,ABANDONED,SOBOL,584,4,50,129,1915
132,132_0,ABANDONED,SOBOL,966,1,244,273,1552
133,133_0,FAILED,SOBOL,1996,4,303,1603,212
134,134_0,ABANDONED,SOBOL,1329,0,123,592,892
135,135_0,ABANDONED,SOBOL,361,3,424,1282,1371
136,136_0,ABANDONED,SOBOL,471,1,74,1653,652
137,137_0,ABANDONED,SOBOL,1440,3,381,471,1116
138,138_0,ABANDONED,SOBOL,1858,1,202,1459,1811
139,139_0,FAILED,SOBOL,828,3,253,667,456
140,140_0,ABANDONED,SOBOL,694,0,447,812,77
141,141_0,ABANDONED,SOBOL,1725,2,6,1064,1659
142,142_0,ABANDONED,SOBOL,1074,2,326,116,1479
143,143_0,ABANDONED,SOBOL,105,4,127,1758,758
144,144_0,ABANDONED,SOBOL,39,2,400,526,1947
145,145_0,ABANDONED,SOBOL,1007,4,83,1348,289
146,146_0,ABANDONED,SOBOL,1666,0,278,332,609
147,147_0,ABANDONED,SOBOL,636,2,204,1544,1129
148,148_0,ABANDONED,SOBOL,754,1,27,1931,1281
149,149_0,ABANDONED,SOBOL,1784,3,461,195,987
150,150_0,FAILED,SOBOL,1389,1,157,1235,183
151,151_0,ABANDONED,SOBOL,421,3,332,889,1584
152,152_0,ABANDONED,SOBOL,310,0,165,50,424
153,153_0,ABANDONED,SOBOL,1279,2,348,1824,1840
154,154_0,ABANDONED,SOBOL,1922,2,44,871,1021
155,155_0,ABANDONED,SOBOL,891,4,470,1005,742
156,156_0,ABANDONED,SOBOL,525,1,293,1392,848
157,157_0,ABANDONED,SOBOL,1556,4,227,734,1384
158,158_0,ABANDONED,SOBOL,1145,0,422,1711,1688
159,159_0,ABANDONED,SOBOL,177,3,97,413,45
160,160_0,ABANDONED,SOBOL,133,1,193,934,1343
161,161_0,ABANDONED,SOBOL,1163,4,260,1190,924
162,162_0,ABANDONED,SOBOL,1510,0,64,240,246
163,163_0,ABANDONED,SOBOL,542,3,389,1886,1522
164,164_0,ABANDONED,SOBOL,910,0,319,1531,1885
165,165_0,ABANDONED,SOBOL,1878,3,136,345,352
166,166_0,ABANDONED,SOBOL,1295,1,440,1334,545
167,167_0,ABANDONED,SOBOL,265,4,15,540,1191
168,168_0,ABANDONED,SOBOL,404,1,490,395,786
169,169_0,ABANDONED,SOBOL,1435,3,57,1729,1447
170,170_0,ABANDONED,SOBOL,1766,1,361,716,1625
171,171_0,ABANDONED,SOBOL,797,4,186,1410,107
172,172_0,ABANDONED,SOBOL,681,2,116,1055,486
173,173_0,ABANDONED,SOBOL,1650,4,433,821,1777
174,174_0,ABANDONED,SOBOL,1052,0,237,1873,1084
175,175_0,ABANDONED,SOBOL,20,2,312,1,681
176,176_0,ABANDONED,SOBOL,87,0,39,1268,1614
177,177_0,FAILED,SOBOL,1117,2,481,606,149
178,178_0,FAILED,SOBOL,1708,2,160,1589,955
179,179_0,ABANDONED,SOBOL,740,4,359,287,1309
180,180_0,ABANDONED,SOBOL,872,1,411,174,1157
181,181_0,ABANDONED,SOBOL,1840,3,103,1952,576
182,182_0,FAILED,SOBOL,1485,1,282,993,255
183,183_0,ABANDONED,SOBOL,455,3,232,1131,1977
184,184_0,ABANDONED,SOBOL,315,2,273,1806,15
185,185_0,ABANDONED,SOBOL,1346,4,215,68,1722
186,186_0,ABANDONED,SOBOL,1952,0,394,1112,1416
187,187_0,ABANDONED,SOBOL,983,2,94,764,819
188,188_0,ABANDONED,SOBOL,600,0,145,651,714
189,189_0,FAILED,SOBOL,1569,3,337,1475,1053
190,190_0,ABANDONED,SOBOL,1230,1,16,454,1874
191,191_0,ABANDONED,SOBOL,199,4,466,1670,394
192,192_0,ABANDONED,SOBOL,218,1,3,83,911
193,193_0,ABANDONED,SOBOL,1248,4,452,1791,1321
194,194_0,ABANDONED,SOBOL,1581,0,132,779,1501
195,195_0,ABANDONED,SOBOL,613,3,323,1097,232
196,196_0,ABANDONED,SOBOL,995,0,377,1491,362
197,197_0,ABANDONED,SOBOL,1962,3,76,635,1903
198,198_0,ABANDONED,SOBOL,1366,1,256,1685,1208
199,199_0,ABANDONED,SOBOL,336,4,197,439,555
200,200_0,ABANDONED,SOBOL,442,0,300,622,1468
201,201_0,FAILED,SOBOL,1473,2,249,1252,800
202,202_0,FAILED,SOBOL,1821,2,429,303,121
203,203_0,ABANDONED,SOBOL,853,4,120,1573,1646
204,204_0,ABANDONED,SOBOL,719,1,174,1968,1760
205,205_0,ABANDONED,SOBOL,1688,4,373,158,476
206,206_0,ABANDONED,SOBOL,1107,1,53,1147,671
207,207_0,ABANDONED,SOBOL,76,3,494,977,1066
208,208_0,ABANDONED,SOBOL,2,1,220,1745,139
209,209_0,ABANDONED,SOBOL,1032,3,294,379,1597
210,210_0,FAILED,SOBOL,1636,1,99,1426,1292
211,211_0,ABANDONED,SOBOL,669,3,415,700,945
212,212_0,ABANDONED,SOBOL,787,2,348,837,590
213,213_0,ABANDONED,SOBOL,1755,4,172,1039,1178
214,214_0,ABANDONED,SOBOL,1414,0,477,16,1999
215,215_0,ABANDONED,SOBOL,384,2,43,1858,268
216,216_0,ABANDONED,SOBOL,277,1,454,1206,1739
217,217_0,FAILED,SOBOL,1308,4,28,918,25
218,218_0,ABANDONED,SOBOL,1897,0,333,1902,829
219,219_0,ABANDONED,SOBOL,928,3,149,224,1434
220,220_0,ABANDONED,SOBOL,562,0,82,361,1031
221,221_0,FAILED,SOBOL,1531,2,406,1515,701
222,222_0,FAILED,SOBOL,1174,2,211,555,380
223,223_0,ABANDONED,SOBOL,143,4,277,1319,1853
224,224_0,ABANDONED,SOBOL,158,0,436,1840,527
225,225_0,ABANDONED,SOBOL,1126,3,111,34,1240
226,226_0,ABANDONED,SOBOL,1543,2,306,1021,1937
227,227_0,ABANDONED,SOBOL,512,4,241,855,331
228,228_0,FAILED,SOBOL,881,1,61,750,202
229,229_0,ABANDONED,SOBOL,1911,4,488,1376,1535
230,230_0,ABANDONED,SOBOL,1258,0,183,429,1354
231,231_0,ABANDONED,SOBOL,290,3,366,1695,882
232,232_0,ABANDONED,SOBOL,433,2,139,1363,1095
233,233_0,ABANDONED,SOBOL,1402,4,315,511,639
234,234_0,FAILED,SOBOL,1803,0,9,1560,442
235,235_0,ABANDONED,SOBOL,772,2,444,316,1790
236,236_0,ABANDONED,SOBOL,655,0,264,211,1677
237,237_0,ABANDONED,SOBOL,1687,3,191,1915,86
238,238_0,FAILED,SOBOL,1018,1,386,905,768
239,239_0,ABANDONED,SOBOL,49,3,69,1219,1496
240,240_0,ABANDONED,SOBOL,124,1,344,487,298
241,241_0,ABANDONED,SOBOL,1092,3,145,1637,1965
242,242_0,ABANDONED,SOBOL,1737,1,465,683,1146
243,243_0,ABANDONED,SOBOL,707,3,24,1443,618
244,244_0,ABANDONED,SOBOL,838,0,215,1080,973
245,245_0,ABANDONED,SOBOL,1869,2,267,796,1259
246,246_0,ABANDONED,SOBOL,1460,2,87,1774,1562
247,247_0,ABANDONED,SOBOL,492,4,396,100,170
248,248_0,ABANDONED,SOBOL,348,0,109,963,1822
249,249_0,FAILED,SOBOL,1317,3,410,1161,414
250,250_0,ABANDONED,SOBOL,1978,1,230,144,733
251,251_0,ABANDONED,SOBOL,946,4,289,1982,1003
252,252_0,ABANDONED,SOBOL,563,2,481,1618,1405
253,253_0,ABANDONED,SOBOL,1594,4,33,258,862
254,254_0,ABANDONED,SOBOL,1201,0,352,1297,59
255,255_0,ABANDONED,SOBOL,232,2,161,577,1710
256,256_0,ABANDONED,SOBOL,228,0,110,1699,1370
257,257_0,ABANDONED,SOBOL,1197,2,435,425,898
258,258_0,FAILED,SOBOL,1598,2,239,1380,217
259,259_0,ABANDONED,SOBOL,567,4,306,746,1550
260,260_0,ABANDONED,SOBOL,950,1,488,859,1921
261,261_0,FAILED,SOBOL,1982,4,63,1017,315
262,262_0,ABANDONED,SOBOL,1313,0,367,39,511
263,263_0,ABANDONED,SOBOL,344,3,184,1836,1225
264,264_0,ABANDONED,SOBOL,488,2,313,1223,751
265,265_0,ABANDONED,SOBOL,1456,4,138,901,1481
266,266_0,ABANDONED,SOBOL,1873,0,442,1919,1661
267,267_0,FAILED,SOBOL,843,2,9,207,72
268,268_0,ABANDONED,SOBOL,711,1,191,320,458
269,269_0,ABANDONED,SOBOL,1741,3,266,1556,1806
270,270_0,ABANDONED,SOBOL,1088,1,70,515,1109
271,271_0,ABANDONED,SOBOL,120,3,387,1360,654
272,272_0,ABANDONED,SOBOL,53,1,143,96,1579
273,273_0,ABANDONED,SOBOL,1022,3,343,1778,186
274,274_0,ABANDONED,SOBOL,1683,0,22,792,989
275,275_0,ABANDONED,SOBOL,652,3,464,1084,1274
276,276_0,ABANDONED,SOBOL,768,0,267,1439,1130
277,277_0,FAILED,SOBOL,1799,2,217,687,602
278,278_0,ABANDONED,SOBOL,1406,2,396,1633,283
279,279_0,ABANDONED,SOBOL,437,4,88,491,1949
280,280_0,ABANDONED,SOBOL,294,0,409,573,43
281,281_0,ABANDONED,SOBOL,1262,3,109,1301,1693
282,282_0,ABANDONED,SOBOL,1907,1,288,254,1390
283,283_0,ABANDONED,SOBOL,877,4,230,1622,846
284,284_0,ABANDONED,SOBOL,509,2,33,1978,749
285,285_0,ABANDONED,SOBOL,1539,4,483,148,1019
286,286_0,ABANDONED,SOBOL,1130,0,162,1157,1838
287,287_0,ABANDONED,SOBOL,162,3,354,967,429
288,288_0,ABANDONED,SOBOL,147,2,453,443,1193
289,289_0,ABANDONED,SOBOL,1178,4,4,1682,540
290,290_0,FAILED,SOBOL,1527,0,325,639,345
291,291_0,ABANDONED,SOBOL,558,2,132,1487,1887
292,292_0,ABANDONED,SOBOL,924,0,76,1101,1515
293,293_0,FAILED,SOBOL,1893,3,376,775,248
294,294_0,ABANDONED,SOBOL,1312,1,196,1795,926
295,295_0,ABANDONED,SOBOL,281,4,255,80,1338
296,296_0,ABANDONED,SOBOL,388,0,250,981,686
297,297_0,FAILED,SOBOL,1418,2,301,1143,1081
298,298_0,ABANDONED,SOBOL,1751,2,122,162,1776
299,299_0,ABANDONED,SOBOL,783,4,429,1964,492
300,300_0,ABANDONED,SOBOL,665,1,373,1577,106
301,301_0,ABANDONED,SOBOL,1633,3,172,299,1632
302,302_0,ABANDONED,SOBOL,1036,1,493,1256,1452
303,303_0,ABANDONED,SOBOL,6,3,52,618,784
304,304_0,ABANDONED,SOBOL,72,1,295,1854,1984
305,305_0,ABANDONED,SOBOL,1103,3,221,20,253
306,306_0,FAILED,SOBOL,1692,1,416,1035,574
307,307_0,ABANDONED,SOBOL,723,4,99,841,1162
308,308_0,ABANDONED,SOBOL,857,2,171,697,1307
309,309_0,FAILED,SOBOL,1825,4,346,1429,960
310,310_0,FAILED,SOBOL,1469,0,42,375,156
311,311_0,ABANDONED,SOBOL,438,2,475,1749,1613
312,312_0,ABANDONED,SOBOL,332,1,29,1315,395
313,313_0,ABANDONED,SOBOL,1362,4,455,559,1868
314,314_0,FAILED,SOBOL,1966,0,151,1511,1048
315,315_0,ABANDONED,SOBOL,999,3,334,365,717
316,316_0,ABANDONED,SOBOL,617,0,406,220,814
317,317_0,ABANDONED,SOBOL,1585,2,81,1905,1418
318,318_0,ABANDONED,SOBOL,1244,1,277,914,1724
319,319_0,ABANDONED,SOBOL,214,4,210,1209,8
320,320_0,ABANDONED,SOBOL,203,1,258,544,562
321,321_0,ABANDONED,SOBOL,1234,4,193,1331,1207
322,322_0,ABANDONED,SOBOL,1565,0,388,349,1900
323,323_0,ABANDONED,SOBOL,596,3,64,1527,367
324,324_0,ABANDONED,SOBOL,980,0,137,1890,230
325,325_0,ABANDONED,SOBOL,1949,2,320,236,1506
326,326_0,ABANDONED,SOBOL,1350,2,15,1194,1328
327,327_0,ABANDONED,SOBOL,319,4,442,930,909
328,328_0,ABANDONED,SOBOL,459,1,55,5,1068
329,329_0,ABANDONED,SOBOL,1489,3,490,1870,664
330,330_0,FAILED,SOBOL,1836,1,184,826,471
331,331_0,ABANDONED,SOBOL,868,3,361,1051,1762
332,332_0,ABANDONED,SOBOL,736,2,433,1414,1641
333,333_0,FAILED,SOBOL,1704,4,117,712,123
334,334_0,ABANDONED,SOBOL,1121,0,312,1733,801
335,335_0,ABANDONED,SOBOL,91,2,239,391,1462
336,336_0,ABANDONED,SOBOL,16,0,479,1127,270
337,337_0,ABANDONED,SOBOL,1048,2,39,997,1994
338,338_0,ABANDONED,SOBOL,1654,2,358,1948,1172
339,339_0,ABANDONED,SOBOL,685,4,159,178,591
340,340_0,ABANDONED,SOBOL,801,1,103,283,939
341,341_0,FAILED,SOBOL,1770,4,412,1593,1293
342,342_0,ABANDONED,SOBOL,1431,1,232,602,1599
343,343_0,ABANDONED,SOBOL,400,3,284,1272,134
344,344_0,ABANDONED,SOBOL,261,1,214,1666,1858
345,345_0,FAILED,SOBOL,1291,4,273,458,378
346,346_0,FAILED,SOBOL,1882,0,93,1472,699
347,347_0,ABANDONED,SOBOL,914,3,394,654,1038
348,348_0,ABANDONED,SOBOL,546,0,338,760,1432
349,349_0,FAILED,SOBOL,1514,3,147,1116,836
350,350_0,FAILED,SOBOL,1160,1,466,64,30
351,351_0,ABANDONED,SOBOL,129,4,18,1810,1737
352,352_0,ABANDONED,SOBOL,173,0,180,1286,877
353,353_0,ABANDONED,SOBOL,1141,3,371,589,1356
354,354_0,ABANDONED,SOBOL,1560,1,51,1607,1536
355,355_0,FAILED,SOBOL,529,4,500,269,196
356,356_0,ABANDONED,SOBOL,895,2,302,133,333
357,357_0,ABANDONED,SOBOL,1926,4,243,1993,1930
358,358_0,ABANDONED,SOBOL,1275,0,423,952,1235
359,359_0,ABANDONED,SOBOL,306,2,122,1172,529
360,360_0,ABANDONED,SOBOL,417,1,383,1762,1494
361,361_0,ABANDONED,SOBOL,1385,3,74,112,773
362,362_0,FAILED,SOBOL,1788,1,254,1068,93
363,363_0,ABANDONED,SOBOL,758,3,203,808,1675
364,364_0,ABANDONED,SOBOL,640,0,5,671,1796
365,365_0,FAILED,SOBOL,1670,2,446,1455,440
366,366_0,ABANDONED,SOBOL,1003,2,126,475,636
367,367_0,ABANDONED,SOBOL,36,4,325,1649,1100
368,368_0,ABANDONED,SOBOL,109,2,84,885,168
369,369_0,ABANDONED,SOBOL,1078,4,400,1238,1569
370,370_0,ABANDONED,SOBOL,1721,0,205,191,1265
371,371_0,ABANDONED,SOBOL,690,2,279,1934,971
372,372_0,ABANDONED,SOBOL,824,1,460,1540,623
373,373_0,ABANDONED,SOBOL,1855,3,26,336,1144
374,374_0,ABANDONED,SOBOL,1444,1,331,1344,1963
375,375_0,ABANDONED,SOBOL,475,3,155,530,305
376,376_0,ABANDONED,SOBOL,366,0,350,409,1703
377,377_0,ABANDONED,SOBOL,1333,3,166,1715,60
378,378_0,ABANDONED,SOBOL,1992,1,471,730,864
379,379_0,ABANDONED,SOBOL,962,4,45,1395,1400
380,380_0,ABANDONED,SOBOL,580,1,226,1001,1005
381,381_0,FAILED,SOBOL,1611,4,292,875,727
382,382_0,ABANDONED,SOBOL,1215,0,97,1820,408
383,383_0,ABANDONED,SOBOL,247,3,420,54,1824
384,384_0,ABANDONED,SOBOL,237,2,235,1906,369
385,385_0,ABANDONED,SOBOL,1206,4,285,218,1894
386,386_0,FAILED,SOBOL,1624,0,106,1228,1217
387,387_0,ABANDONED,SOBOL,593,2,414,898,548
388,388_0,ABANDONED,SOBOL,959,1,357,504,919
389,389_0,FAILED,SOBOL,1991,3,157,1373,1314
390,390_0,ABANDONED,SOBOL,1340,1,478,323,1508
391,391_0,ABANDONED,SOBOL,371,3,36,1551,224
392,392_0,ABANDONED,SOBOL,477,0,469,1384,1752
393,393_0,FAILED,SOBOL,1446,2,20,741,484
394,394_0,FAILED,SOBOL,1849,2,340,1689,663
395,395_0,ABANDONED,SOBOL,818,4,148,437,1073
396,396_0,ABANDONED,SOBOL,700,1,91,43,1460
397,397_0,ABANDONED,SOBOL,1730,4,391,1834,807
398,398_0,FAILED,SOBOL,1064,0,212,846,114
399,399_0,ABANDONED,SOBOL,96,3,270,1028,1655
400,400_0,ABANDONED,SOBOL,45,0,14,265,581
401,401_0,ABANDONED,SOBOL,1014,3,439,1609,1186
402,402_0,ABANDONED,SOBOL,1657,1,135,570,1991
403,403_0,ABANDONED,SOBOL,625,4,318,1306,277
404,404_0,ABANDONED,SOBOL,759,1,390,1169,132
405,405_0,ABANDONED,SOBOL,1790,4,65,957,1605
406,406_0,ABANDONED,SOBOL,1379,0,261,1972,1283
407,407_0,ABANDONED,SOBOL,411,2,194,151,953
408,408_0,ABANDONED,SOBOL,305,1,311,788,1040
409,409_0,FAILED,SOBOL,1272,4,236,1086,693
410,410_0,ABANDONED,SOBOL,1931,1,432,110,387
411,411_0,ABANDONED,SOBOL,901,3,115,1766,1845
412,412_0,ABANDONED,SOBOL,519,0,187,1630,1747
413,413_0,FAILED,SOBOL,1550,2,362,496,16
414,414_0,ABANDONED,SOBOL,1155,2,58,1449,838
415,415_0,ABANDONED,SOBOL,187,4,491,675,1426
416,416_0,ABANDONED,SOBOL,139,0,329,165,194
417,417_0,ABANDONED,SOBOL,1169,2,153,1959,1542
418,418_0,ABANDONED,SOBOL,1500,2,458,970,1346
419,419_0,ABANDONED,SOBOL,532,4,25,1156,890
420,420_0,ABANDONED,SOBOL,915,1,207,1261,520
421,421_0,ABANDONED,SOBOL,1884,3,282,615,1248
422,422_0,ABANDONED,SOBOL,1286,1,86,1565,1929
423,423_0,ABANDONED,SOBOL,254,3,402,309,338
424,424_0,ABANDONED,SOBOL,398,2,95,625,1685
425,425_0,ABANDONED,SOBOL,1429,4,419,1499,79
426,426_0,ABANDONED,SOBOL,1775,0,223,447,775
427,427_0,ABANDONED,SOBOL,807,2,290,1679,1488
428,428_0,ABANDONED,SOBOL,676,0,472,1785,1102
429,429_0,ABANDONED,SOBOL,1643,3,47,91,630
430,430_0,ABANDONED,SOBOL,1061,1,351,1104,450
431,431_0,ABANDONED,SOBOL,31,4,168,770,1783
432,432_0,ABANDONED,SOBOL,81,1,425,1506,981
433,433_0,ABANDONED,SOBOL,1112,4,124,368,1251
434,434_0,ABANDONED,SOBOL,1718,0,303,1327,1571
435,435_0,FAILED,SOBOL,749,3,245,549,162
436,436_0,ABANDONED,SOBOL,866,0,49,912,307
437,437_0,ABANDONED,SOBOL,1834,3,498,1214,1957
438,438_0,ABANDONED,SOBOL,1495,2,178,231,1153
439,439_0,ABANDONED,SOBOL,465,4,369,1892,610
440,440_0,ABANDONED,SOBOL,322,0,128,1045,1398
441,441_0,ABANDONED,SOBOL,1352,3,327,829,870
442,442_0,FAILED,SOBOL,1942,1,7,1850,50
443,443_0,ABANDONED,SOBOL,975,3,449,26,1717
444,444_0,ABANDONED,SOBOL,606,2,252,389,1814
445,445_0,ABANDONED,SOBOL,1574,4,202,1737,421
446,446_0,ABANDONED,SOBOL,1220,0,381,692,725
447,447_0,ABANDONED,SOBOL,190,2,72,1432,1012
448,448_0,ABANDONED,SOBOL,208,1,399,813,1559
449,449_0,FAILED,SOBOL,1239,3,89,1061,204
450,450_0,ABANDONED,SOBOL,1587,1,270,10,900
451,451_0,ABANDONED,SOBOL,619,3,219,1866,1364
452,452_0,ABANDONED,SOBOL,985,2,21,1722,1227
453,453_0,ABANDONED,SOBOL,1954,4,462,404,506
454,454_0,ABANDONED,SOBOL,1373,0,142,1416,325
455,455_0,ABANDONED,SOBOL,341,2,341,708,1907
456,456_0,RUNNING,SOBOL,452,1,164,353,69
457,457_0,ABANDONED,SOBOL,1483,4,355,1522,1667
458,458_0,ABANDONED,SOBOL,1815,0,35,533,1471
459,459_0,ABANDONED,SOBOL,847,3,484,1343,765
