start_time,end_time,run_time,program_string,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1744575055,1744575646,591,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3122 feature_id 3 batch_size 3655 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 1,3122,3,3655,str\(\'H\'\),1,str\(\'stdev\'\),0.001,1,0.1,573.0,0,,i7111,4333408,573.0,662.234375,564.3910807291667,-1.0,0.997803231396116
1744575061,1744575646,585,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 4643 feature_id 3 batch_size 2578 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 1,4643,3,2578,str\(\'H\'\),1,str\(\'stdev\'\),0.001,1,0.1,565.0,0,,i7102,4333433,565.0,658.328125,563.2012049788135,-1.0,0.9987726592488152
1744575063,1744575648,585,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1770 feature_id 3 batch_size 963 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 30,1770,3,963,str\(\'H\'\),2,str\(\'stdev\'\),0.001,30,0.08,565.0,0,,i7110,4333414,565.0,530.4765625,500.0329713983051,-1.0,0.2461990537482364
1744575055,1744575666,611,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1826 feature_id 3 batch_size 3090 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 1,1826,3,3090,str\(\'H\'\),1,str\(\'stdev\'\),0.001,1,0.1,590.0,0,,i7111,4333411,590.0,652.94140625,563.2488473360655,-1.0,0.9980737694015204
1744575054,1744575677,623,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1844 feature_id 3 batch_size 560 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 31,1844,3,560,str\(\'H\'\),2,str\(\'stdev\'\),0.001,31,0.08,611.0,0,,i7113,4333399,611.0,529.203125,499.6612548828125,-1.0,0.2570471768682791
1744575063,1744575735,672,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2143 feature_id 3 batch_size 371 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 32,2143,3,371,str\(\'H\'\),2,str\(\'stdev\'\),0.001,32,0.09,650.0,0,,i7110,4333418,650.0,526.90234375,496.0948577425373,-1.0,0.2589535680130291
1744575056,1744577657,2601,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3615 feature_id 3 batch_size 1 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 1,3615,3,1,str\(\'H\'\),2,str\(\'stdev\'\),0.001,1,0.09,2581.0,0,,i7108,4333421,2581.0,1084.42578125,770.4748948317308,-1.0,0.2496227122066297
1744575063,1744577736,2673,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2676 feature_id 3 batch_size 1 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.001 subsets 24,2676,3,1,str\(\'H\'\),3,str\(\'stdev\'\),0.001,24,0.09,2653.0,0,,i7112,4333401,2653.0,1032.88671875,758.5760115438433,-1.0,0.2496227122066297
1744575055,1744578020,2965,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3253 feature_id 3 batch_size 1 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.001 subsets 94,3253,3,1,str\(\'H\'\),3,str\(\'stdev\'\),0.001,94,0.09,2949.0,0,,i7100,4333438,2949.0,881.765625,636.3705018939394,-1.0,0.2496227122066297
1744590479,1744590976,497,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 3 batch_size 616 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.001 subsets 22,1,3,616,str\(\'KL\'\),3,str\(\'stdev\'\),0.001,22,0.08,482.0,0,,i7127,4336908,482.0,536.42578125,505.043275122549,-1.0,0.2544211546291532
1744590498,1744591025,527,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 3 batch_size 1672 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.001 subsets 1,1,3,1672,str\(\'KL\'\),2,str\(\'tstat\'\),0.001,1,0.09,516.0,0,,i7150,4336910,516.0,567.6484375,520.0801504629629,-1.0,0.4990812980233141
1744590504,1744591025,521,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 3 batch_size 574 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.999 subsets 22,1,3,574,str\(\'KL\'\),3,str\(\'stdev\'\),0.999,22,0.07,501.0,0,,i7121,4336918,501.0,519.35546875,494.003095518868,-1.0,0.1586534060960328
1744590504,1744591038,534,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 3 batch_size 3991 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.001 subsets 1,5000,3,3991,str\(\'KL\'\),2,str\(\'tstat\'\),0.001,1,0.09,519.0,0,,i7123,4336914,519.0,562.859375,518.8959056712963,-1.0,0.4993676174123671
1744590505,1744591049,544,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 3 batch_size 5000 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.999 subsets 1,5000,3,5000,str\(\'H\'\),2,str\(\'tstat\'\),0.999,1,0.09,531.0,0,,i7145,4336912,531.0,526.06640625,487.9914899553572,-1.0,0.4995939675435555
1744590534,1744591051,517,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 3 batch_size 1205 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.999 subsets 100,1,3,1205,str\(\'H\'\),3,str\(\'stdev\'\),0.999,100,0.07,496.0,0,,i7116,4336934,496.0,519.95703125,490.3551682692308,-1.0,0.1501445349293873
1744590534,1744591055,521,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 3 batch_size 445 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.999 subsets 22,1,3,445,str\(\'KL\'\),1,str\(\'stdev\'\),0.999,22,0.09,503.0,0,,i7119,4336926,503.0,538.79296875,503.8871609669811,-1.0,0.2091781821920161
1744590504,1744591064,560,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 3 batch_size 914 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.999 subsets 1,5000,3,914,str\(\'KL\'\),2,str\(\'tstat\'\),0.999,1,0.09,538.0,0,,i7121,4336919,538.0,569.07421875,523.2724609375,-1.0,0.4994118052865832
1744590534,1744591075,541,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 3 batch_size 1988 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.999 subsets 1,5000,3,1988,str\(\'H\'\),2,str\(\'stdev\'\),0.999,1,0.09,521.0,0,,i7118,4336928,521.0,562.07421875,517.2453125,-1.0,0.4983887207294786
1744590504,1744591076,572,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 816 feature_id 3 batch_size 1217 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.001 subsets 67,816,3,1217,str\(\'H\'\),3,str\(\'stdev\'\),0.001,67,0.08,550.0,0,,i7121,4336917,550.0,534.80078125,503.64624451754383,-1.0,0.2361548794009206
1744590500,1744591085,585,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2889 feature_id 3 batch_size 4715 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 35,2889,3,4715,str\(\'H\'\),1,str\(\'stdev\'\),0.001,35,0.08,570.0,0,,i7123,4336911,570.0,552.1875,508.94895391949154,-1.0,0.3520109766286726
1744590534,1744591088,554,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 3 batch_size 2633 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.999 subsets 1,1,3,2633,str\(\'KL\'\),2,str\(\'stdev\'\),0.999,1,0.09,536.0,0,,i7118,4336929,536.0,577.6171875,525.6888253348214,-1.0,0.4989144662533146
1744590534,1744591093,559,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 4522 feature_id 3 batch_size 1807 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.999 subsets 1,4522,3,1807,str\(\'KL\'\),1,str\(\'stdev\'\),0.999,1,0.1,543.0,0,,i7119,4336925,543.0,656.640625,565.9388020833334,-1.0,0.9988218069864636
1744590564,1744591098,534,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1001 feature_id 3 batch_size 4281 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.999 subsets 36,1001,3,4281,str\(\'H\'\),1,str\(\'stdev\'\),0.999,36,0.08,518.0,0,,i7176,4336936,518.0,528.40625,502.4388020833333,-1.0,0.2654784938067087
1744590519,1744591107,588,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 3 batch_size 4540 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 36,5000,3,4540,str\(\'KL\'\),1,str\(\'stdev\'\),0.001,36,0.09,576.0,0,,i7154,4336922,576.0,555.20703125,512.9262369791667,-1.0,0.3941833427044692
1744590504,1744591110,606,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 3 batch_size 4475 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 36,1,3,4475,str\(\'H\'\),1,str\(\'stdev\'\),0.001,36,0.09,594.0,0,,i7134,4336913,594.0,523.83203125,487.97227822580646,-1.0,0.3945801317790624
1744590520,1744591112,592,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 3 batch_size 1641 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.999 subsets 1,1,3,1641,str\(\'KL\'\),2,str\(\'stdev\'\),0.999,1,0.09,579.0,0,,i7144,4336923,579.0,575.76171875,523.4627604166667,-1.0,0.4994469752272857
1744590534,1744591113,579,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 3 batch_size 2199 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.999 subsets 1,5000,3,2199,str\(\'H\'\),2,str\(\'tstat\'\),0.999,1,0.09,559.0,0,,i7118,4336927,559.0,569.11328125,520.7518184267242,-1.0,0.4988256396082068
1744590504,1744591122,618,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 3 batch_size 5000 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 41,1,3,5000,str\(\'H\'\),1,str\(\'stdev\'\),0.001,41,0.09,595.0,0,,i7120,4336920,595.0,565.4453125,516.317855342742,-1.0,0.400396698895258
1744590520,1744591144,624,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 3 batch_size 3702 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 36,5000,3,3702,str\(\'H\'\),1,str\(\'stdev\'\),0.001,36,0.08,607.0,0,,i7136,4336924,607.0,567.15234375,515.9044518849206,-1.0,0.3863575800014699
1744590535,1744591145,610,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1101 feature_id 3 batch_size 1982 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.001 subsets 66,1101,3,1982,str\(\'H\'\),3,str\(\'stdev\'\),0.001,66,0.07,588.0,0,,i7117,4336932,588.0,530.02734375,499.79111168032784,-1.0,0.2448598906214844
1744590500,1744591158,658,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 3 batch_size 2755 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 40,1,3,2755,str\(\'H\'\),1,str\(\'stdev\'\),0.001,40,0.09,643.0,0,,i7168,4336909,643.0,565.875,518.5118936567164,-1.0,0.4028202685270062
