trial_index,arm_name,trial_status,generation_node,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
25,25_0,FAILED,SOBOL,2041,0.446204498849809172433822368475,0.416016179427504517729374811097,48,3146,3202
26,26_0,FAILED,SOBOL,1003,0.872597870104014905479061781080,0.845118497895076870030095506081,3594,4488,3846
27,27_0,FAILED,SOBOL,3941,0.077451357403770085263694511468,0.212683485824614770809404262764,1891,1081,2029
28,28_0,FAILED,SOBOL,4790,0.963579126037657274217451686127,0.279853412522003075491028312172,1365,228,1144
29,29_0,FAILED,SOBOL,310,0.230609526837244643848734426683,0.660996899873018239901512060896,2870,4245,3001
30,30_0,FAILED,SOBOL,1660,0.590718545014038642904097287101,0.109154897274449463884238298306,770,3084,4975
31,31_0,FAILED,SOBOL,3401,0.356898486621677890617831963027,0.957907332900911567818980074662,4695,1545,1829
32,32_0,FAILED,SOBOL,3307,0.998927239088341578643337470567,0.707657614720985317369184031122,3337,3921,1938
33,33_0,FAILED,SOBOL,1635,0.203549445156008007584702568238,0.357948884159326574661008635303,2459,514,3751
34,34_0,FAILED,SOBOL,167,0.618232721779495508762636291067,0.911252999724820211824294347025,3915,1855,3263
35,35_0,FAILED,SOBOL,4735,0.322070858119055614121606367917,0.031065416935831310224491730310,613,2736,83
36,36_0,FAILED,SOBOL,4041,0.715107199806719995294201908109,0.462925766466185439895753006567,1139,3456,1748
37,37_0,FAILED,SOBOL,1017,0.481031117958948040147504343622,0.596347169384360276112033716345,4639,1916,4889
38,38_0,FAILED,SOBOL,2171,0.837256480766460309261844940920,0.165783106015995135296137164005,1738,755,3073
39,39_0,FAILED,SOBOL,2926,0.104512448478490116432482182063,0.767277919489890325444036989211,2808,4772,1221
40,40_0,FAILED,SOBOL,2523,0.530740589641034654633244826982,0.236813292646780609862489086481,4843,154,570
41,41_0,FAILED,SOBOL,2418,0.296999414512887582873190694954,0.822451586645096544003763483488,641,4164,3713
42,42_0,FAILED,SOBOL,644,0.898822294810786792673695799749,0.376293843915685988221753177640,2917,2844,4241
43,43_0,FAILED,SOBOL,4259,0.165743355803191660946538377175,0.556759117595851393822670161171,1299,1317,2387
44,44_0,FAILED,SOBOL,4504,0.808770097279921218458298426413,0.996137537607923118088137925952,2021,2491,770
45,45_0,FAILED,SOBOL,555,0.013605376459658147236808645175,0.069461796995252372832752030263,3445,3389,2585
46,46_0,FAILED,SOBOL,1393,0.681690659709274782152021998627,0.638359703456983007541225560999,114,4566,4441
47,47_0,FAILED,SOBOL,3704,0.385315722936764359918271338756,0.303951541490852850113668637277,4120,1157,1259
48,48_0,FAILED,SOBOL,3486,0.627076529290527151516698722844,0.866743255916982868747311385960,1711,2601,2720
49,49_0,FAILED,SOBOL,1418,0.424332616021856678933943385346,0.191425663711503157848881073733,2513,1718,783
50,50_0,FAILED,SOBOL,386,0.754250812670215986521782269847,0.508447660535573997542257984605,1039,378,1544
51,51_0,FAILED,SOBOL,4558,0.052534383531659845090189264738,0.425458560062572377358236508371,4417,3783,4614
52,52_0,FAILED,SOBOL,4177,0.906632563328370499888819722401,0.114697143215686081507698190762,3888,4947,3467
53,53_0,FAILED,SOBOL,923,0.142343285631388427603383206588,0.951754498707130580648083650885,318,932,358
54,54_0,FAILED,SOBOL,2268,0.538516449552029374814310358488,0.254695455715060248280678933952,3237,2090,2291
55,55_0,FAILED,SOBOL,2792,0.273625841384753598628520876446,0.686518877802416715994127116574,2237,3632,4189
56,56_0,FAILED,SOBOL,3010,0.845032251449301829993032697530,0.340809706263244138746415501373,209,1455,4789
57,57_0,FAILED,SOBOL,1895,0.081138786122202877226783357401,0.725650051703676579606394625443,4327,2980,1682
58,58_0,FAILED,SOBOL,1169,0.722917557552456901959203605657,0.044184807043522594804940695212,2033,4302,959
59,59_0,FAILED,SOBOL,3775,0.457631137015298006254226947931,0.897037649953737803443232223799,3735,289,2855
60,60_0,FAILED,SOBOL,4956,0.563713526397943476275997909397,0.578263362772762801178316749429,3012,980,4052
61,61_0,FAILED,SOBOL,144,0.360999954419210566936015993633,0.479912661647424076960533056990,1507,4392,2117
62,62_0,FAILED,SOBOL,1806,0.944313019441440748558136419888,0.781340986546128934975286028930,4855,3211,222
63,63_0,FAILED,SOBOL,3255,0.242566249012947071639345608673,0.152572346279397613733053162832,931,2316,3289
64,64_0,FAILED,SOBOL,3204,0.830512344613671293913625959249,0.755175884619355253235539748857,4349,505,4082
65,65_0,FAILED,SOBOL,1855,0.097608417334035038614992174644,0.187135865954682234502115534269,187,3968,2262
66,66_0,FAILED,SOBOL,113,0.708214411409571753530656224029,0.614227827657014113782452113810,3674,2805,407
67,67_0,FAILED,SOBOL,4984,0.474282996281981450437115199747,0.451372012572363034976774542884,2094,1825,3594
68,68_0,FAILED,SOBOL,3821,0.609420933233574046994363015983,0.009977363467216490700018027837,1528,1906,4584
69,69_0,FAILED,SOBOL,1119,0.313342823207378384786636615900,0.923075092418119358406158880825,2990,3506,1436
70,70_0,FAILED,SOBOL,1922,0.990203665584325820603339707304,0.369222703311592348462966128864,870,4840,910
71,71_0,FAILED,SOBOL,2980,0.194726889746263620573074604181,0.690041670354083147564949740627,4917,728,2769
72,72_0,FAILED,SOBOL,2743,0.674915890416130426210372661444,0.282872503783553830292163411286,2569,4194,3416
73,73_0,FAILED,SOBOL,2315,0.378441968020051699994610316935,0.650187123814597756066291367461,1655,84,271
74,74_0,FAILED,SOBOL,893,0.801907942023128317288183097844,0.080741055347025400545923901063,4400,1269,2088
75,75_0,FAILED,SOBOL,4205,0.006826978554949164786080917366,0.978530482595786454957931255194,1056,2852,3945
76,76_0,FAILED,SOBOL,4606,0.889980702202767148811801689590,0.544663421642035294745198825694,374,3417,2904
77,77_0,FAILED,SOBOL,336,0.157046433633193371903757906693,0.397656392926350243932631656207,3832,2424,1086
78,78_0,FAILED,SOBOL,1446,0.522046820199117078686867898796,0.840342145524919037491429207876,2220,1108,1575
79,79_0,FAILED,SOBOL,3455,0.288145746361464283324949064991,0.225265751263126728920482833018,3254,4578,4759
80,80_0,FAILED,SOBOL,3735,0.545382352391257874124619320355,0.664281123297289055606995589187,702,1650,1113
81,81_0,FAILED,SOBOL,1364,0.280407986871898162739569215773,0.269631763387471412585227881209,4782,2628,3043
82,82_0,FAILED,SOBOL,606,0.913403585039079146667972963769,0.960416695324704083880362759373,1277,3794,4938
83,83_0,FAILED,SOBOL,4455,0.149213292965665461631274979482,0.097758882954716685986795710051,2939,328,1875
84,84_0,FAILED,SOBOL,4231,0.762940834529697853305663102219,0.410744850607588862789754102778,3506,863,54
85,85_0,FAILED,SOBOL,674,0.061384304100647567314918973125,0.530478052530437671485685768857,1960,4978,3156
86,86_0,FAILED,SOBOL,2371,0.635921869480982393518786466302,0.208156554026529189149741227993,4098,3642,3878
87,87_0,FAILED,SOBOL,2573,0.433033285774290566116917489126,0.858303650081157720741487082705,136,2044,1987
88,88_0,FAILED,SOBOL,2956,0.951209674391895521061712770461,0.137849799519404764280849917668,2476,3029,1386
89,89_0,FAILED,SOBOL,2144,0.249318237243220219845341034670,0.803365991391241540675594023924,3320,1444,4490
90,90_0,FAILED,SOBOL,1066,0.570453795997425960884186224575,0.496638291219249350394449038504,557,261,2556
91,91_0,FAILED,SOBOL,3994,0.367900119010359072380111911116,0.569814808096736680198546309839,3971,4369,662
92,92_0,FAILED,SOBOL,4706,0.731637264503166129259170702426,0.874793616017326747247295770649,4656,4440,2435
93,93_0,FAILED,SOBOL,198,0.466449825871735834770248629866,0.059111147187650203704833984375,1122,972,4368
94,94_0,FAILED,SOBOL,1587,0.853847906548529822501336639107,0.734302407199516893321344923606,2752,2287,3606
95,95_0,FAILED,SOBOL,3357,0.089870687587186692812935007169,0.323865055035799764837634029391,1794,3282,540
96,96_0,FAILED,SOBOL,3370,0.696783163122832727154332133068,0.074589648803696034784493917869,27,632,724
97,97_0,FAILED,SOBOL,1688,0.493998208621516832206310709807,0.984074156187474735624221011676,4188,4740,2622
98,98_0,FAILED,SOBOL,260,0.826814297745004256334766523651,0.308395909363403941672032715360,1952,3557,4399
99,99_0,FAILED,SOBOL,4838,0.125184594653546810150146484375,0.625030594658106619654347468895,3533,1971,1290
100,100_0,FAILED,SOBOL,3968,0.978236563200131081785571041110,0.819082895761355733732500539190,2848,1720,612
101,101_0,FAILED,SOBOL,973,0.214003317065536963204053222398,0.246889081634581092350444464500,1387,2715,3682
102,102_0,FAILED,SOBOL,2088,0.605314617373049257409434176225,0.554104374626651408064503812057,4756,4030,4287
103,103_0,FAILED,SOBOL,2814,0.340352749371901130981399319353,0.387604911174625144099081808235,709,562,2349
104,104_0,FAILED,SOBOL,2597,0.790001853106543472371470215876,0.608562774034216991125845197530,1806,4673,1780
105,105_0,FAILED,SOBOL,2462,0.026042838547378779900931533575,0.457402039084583544870099558466,2721,1207,4848
106,106_0,FAILED,SOBOL,726,0.670748531345278009574428779160,0.780211033744737547657166487625,1227,2372,3109
107,107_0,FAILED,SOBOL,4371,0.405512431768700498668778209321,0.161491080343723308887504686027,4570,3350,1174
108,108_0,FAILED,SOBOL,4440,0.510554796386510134631464552513,0.347477100627496815477002201078,4003,2958,1902
109,109_0,FAILED,SOBOL,501,0.307922239853069212855984915223,0.711178647805005281767876113008,545,1360,3798
110,110_0,FAILED,SOBOL,1300,0.886343460602685762061980767612,0.019906572906300427916459483413,3405,23,3231
111,111_0,FAILED,SOBOL,3602,0.184561359543353314949243326737,0.913511867120861964508549135644,2371,4138,124
112,112_0,FAILED,SOBOL,3589,0.925322286726906861886732258426,0.475500598084181547164916992188,4924,2148,4005
113,113_0,FAILED,SOBOL,1511,0.129985296085476875749264991100,0.591560174698010032834361027199,843,3732,2153
114,114_0,FAILED,SOBOL,440,0.549567555233836158024018914148,0.147412309132516378129551526399,3100,4916,181
115,115_0,FAILED,SOBOL,4621,0.253319203468039655380295016585,0.793436545869335541070199724345,1438,806,3322
116,116_0,FAILED,SOBOL,4065,0.647401756405830419716096457705,0.728272616770118452755866655934,2120,424,4830
117,117_0,FAILED,SOBOL,839,0.413269405053928506887928051583,0.329530824342742556520846619605,3667,3894,1650
118,118_0,FAILED,SOBOL,2224,0.766559756474569420348075254878,0.900438637711107769945328982431,278,2577,1006
119,119_0,FAILED,SOBOL,2719,0.033887221962213519288464880219,0.034076713746413592187600727357,4239,1584,2819
120,120_0,FAILED,SOBOL,3122,0.581872431512922005936161440331,0.938792649269103995912644222699,3149,3176,3498
121,121_0,FAILED,SOBOL,1978,0.348197043558582663980160987194,0.119017896635457878784514207382,2306,2196,316
122,122_0,FAILED,SOBOL,1213,0.954889877488836691377116494550,0.674331889364868430902788531967,3820,1032,2328
123,123_0,FAILED,SOBOL,3848,0.221760379578918226384232070814,0.260190574320033174426924915679,405,4495,4143
124,124_0,FAILED,SOBOL,4853,0.865827145820483590199501122697,0.202613116517663005566873835051,971,4274,2683
125,125_0,FAILED,SOBOL,52,0.070581647496670479879909976262,0.864455772308632686140583700762,4504,161,829
126,126_0,FAILED,SOBOL,1752,0.735761900018900627529205848987,0.435901615846902124040695980511,1623,1495,1512
127,127_0,FAILED,SOBOL,3191,0.439422055935487165800878983646,0.504955362634733284643573369976,2581,3096,4656
128,128_0,FAILED,SOBOL,3168,0.903913261001929591031966992887,0.203971572395414108003208752962,1482,1807,115
129,129_0,FAILED,SOBOL,1736,0.170889528196305040541602693338,0.854196841606870260754647006252,3064,2783,3259
130,130_0,FAILED,SOBOL,78,0.524195316087454510345366998081,0.407064428158104396615613040922,809,3961,3787
131,131_0,FAILED,SOBOL,4866,0.290383706485852599588071143444,0.526841286813840237179817904689,4969,473,1933
132,132_0,FAILED,SOBOL,3860,0.684404175218194743557376114040,0.964548372428864264627179636591,4284,720,1244
133,133_0,FAILED,SOBOL,1240,0.387958803972229371304081269045,0.101903775120154027611363289907,244,4808,3059
134,134_0,FAILED,SOBOL,1960,0.807526102533563938656868685939,0.667877792112529289347833127977,3632,3489,4915
135,135_0,FAILED,SOBOL,3101,0.012416587915271521530558018753,0.273337047031149249498582776141,2164,1884,1732
136,136_0,FAILED,SOBOL,2703,0.622838346302509338059394394804,0.738443479284644155313799274154,449,2889,2422
137,137_0,FAILED,SOBOL,2202,0.326727881776168960215045444784,0.328015773056074988467400999070,3785,1272,4234
138,138_0,FAILED,SOBOL,852,0.991892697827890468253997369175,0.878396118123084268525246898207,2272,111,3747
139,139_0,FAILED,SOBOL,4091,0.196448276489973067127081662875,0.062825833247974513517952743769,3193,4206,566
140,140_0,FAILED,SOBOL,4649,0.840455337943509239728712145734,0.492459135442972206764267184553,2626,4604,1284
141,141_0,FAILED,SOBOL,451,0.107644678249955175197705159462,0.565717394603416301457343706716,1589,1120,4425
142,142_0,FAILED,SOBOL,1490,0.714352472767233903638839365158,0.134178779486566784884260528088,4470,2461,2609
143,143_0,FAILED,SOBOL,3571,0.480327790053561354266520311285,0.799735058965161393906839748524,1014,3419,757
144,144_0,FAILED,SOBOL,3615,0.722090447891503561805848221411,0.372444489335641282234945492746,3567,335,4648
145,145_0,FAILED,SOBOL,1327,0.456992473496124151921549128019,0.693162455685436773578089741932,1907,3825,1541
146,146_0,FAILED,SOBOL,485,0.848288277847692340216667616914,0.014620981523767114657053056703,4144,2645,817
147,147_0,FAILED,SOBOL,4417,0.084221594650298353679218621437,0.927697881277650626685726820142,61,1672,2713
148,148_0,FAILED,SOBOL,4349,0.937335647402331217925564033067,0.611089787831530006911862074048,743,2061,4213
149,149_0,FAILED,SOBOL,709,0.235415659103542562746724797762,0.448182701878249656335384543127,4712,3663,2278
150,150_0,FAILED,SOBOL,2489,0.568246768299490168097065634356,0.750585578525438945618475372612,1342,4986,383
151,151_0,FAILED,SOBOL,2608,0.365721642462536689066610051668,0.182475000839680434605583059238,2882,895,3451
152,152_0,FAILED,SOBOL,2840,0.752934554273262612866801646305,0.837194710718467849375201694784,4604,4341,2891
153,153_0,FAILED,SOBOL,2101,0.051410378344357014757104451519,0.222070614714175468273893443438,1183,249,953
154,154_0,FAILED,SOBOL,951,0.629847095049917649056681057118,0.540067282257601588568718398164,2677,1407,1715
155,155_0,FAILED,SOBOL,3952,0.426926156843081106018189530005,0.392986125394701957258547508900,1841,3027,4785
156,156_0,FAILED,SOBOL,4820,0.532028226248919988705665673479,0.083957015516236424557128259494,2407,3245,3316
157,157_0,FAILED,SOBOL,238,0.266960593143478031041837539306,0.981641872946172999725433783169,3362,2284,207
158,158_0,FAILED,SOBOL,1700,0.911651265868917093371237569954,0.287506719423457957063305912015,500,945,2139
159,159_0,FAILED,SOBOL,3397,0.147554241381585599102166384000,0.654804079383611625786443255492,4037,4428,4038
160,160_0,FAILED,SOBOL,3335,0.504477882338687733110305089212,0.903553829552605769492856779834,2894,1974,4690
161,161_0,FAILED,SOBOL,1570,0.301816774655133512883509183666,0.037304100695997474690379647200,1311,3594,1625
162,162_0,FAILED,SOBOL,224,0.876339319963008178682173365814,0.732901002837345050267003898625,4817,4752,1019
163,163_0,FAILED,SOBOL,4719,0.174585770053789030020752193195,0.334168837755918490817208521548,658,659,2951
164,164_0,FAILED,SOBOL,4006,0.788251197669655123689835818368,0.144228588210418812165514168555,93,574,3953
165,165_0,FAILED,SOBOL,1094,0.024381647346541288068344499607,0.790292923707515027054171241616,4133,4057,2059
166,166_0,RUNNING,SOBOL,2126,0.657392741469666308518071673461,0.470834146915003637356988974716,1993,2717,282
167,167_0,FAILED,SOBOL,2935,0.392067177657037968518949355712,0.586975447222590429596777994448,3461,1757,3386
168,168_0,FAILED,SOBOL,2556,0.972679074116051145537653610518,0.432708492508158071299106950391,3926,3329,2775
169,169_0,FAILED,SOBOL,2348,0.208352560395374891699660224731,0.501805907182395483090431298479,591,2356,884
170,170_0,FAILED,SOBOL,686,0.595765661144629143919360103610,0.197940839493647213753746427756,3355,1175,1450
171,171_0,FAILED,SOBOL,4257,0.330897060729563263770103276329,0.859861649852246001657363194681,2433,4665,4552
172,172_0,FAILED,SOBOL,4483,0.694574471691623340774413009058,0.677441247915849142913202740601,1751,4107,3522
173,173_0,FAILED,SOBOL,617,0.491821871690452105951862904476,0.263408558852970597907727778875,2787,16,459
174,174_0,FAILED,SOBOL,1343,0.812941934488713768836021245079,0.943411640355363512178143992060,1156,1338,2197
175,175_0,FAILED,SOBOL,3718,0.111279876897111537625839616794,0.123650084193795917197888911687,4611,2941,4127
176,176_0,FAILED,SOBOL,3468,0.867518317680805894909212838684,0.549995530635118523576920779306,2059,794,471
177,177_0,FAILED,SOBOL,1473,0.072301370507106180185452615206,0.383421957625076192943680553071,3718,4890,3655
178,178_0,FAILED,SOBOL,319,0.749177173471078261535183173692,0.815448161844164132183720994362,232,3729,4301
179,179_0,FAILED,SOBOL,4584,0.452808778237551445844388808837,0.243206634821370254462280513508,4315,2111,2483
180,180_0,FAILED,SOBOL,4184,0.588008829137310340406941122637,0.312542811021208788435643555204,4883,1582,671
181,181_0,FAILED,SOBOL,875,0.354243976946920169357468921589,0.629160254834219778707904424664,915,2541,2528
182,182_0,FAILED,SOBOL,2343,0.964834534551948341807303677342,0.078292919237166649915060645526,3033,3882,4501
183,183_0,FAILED,SOBOL,2754,0.231794500878080733663466617145,0.987672845648601693824275571387,1493,397,1355
184,184_0,FAILED,SOBOL,3006,0.649548112677410194315541502874,0.024062876980751754518728091625,1021,4527,1993
185,185_0,FAILED,SOBOL,1935,0.415509028911590583277302357601,0.917647360587492633143824605213,4443,1040,3852
186,186_0,FAILED,SOBOL,1097,0.780494454890489630649597074807,0.351186196915805326490556126373,1700,2217,3169
187,187_0,FAILED,SOBOL,3805,0.047728652792051434738951343206,0.714786732247099321213568146050,2535,3193,21
188,188_0,FAILED,SOBOL,4966,0.930942110970616298892821305344,0.776108023043721950706697043643,3220,3118,1802
189,189_0,FAILED,SOBOL,92,0.135572765829041597118731488081,0.157317529210820788998503871881,2264,1513,4990
190,190_0,FAILED,SOBOL,1866,0.559054176302626770755921370437,0.604937435097992470822703126032,3875,193,2979
191,191_0,FAILED,SOBOL,3232,0.262838179036974928237668791553,0.453725418126210588987134997296,339,4281,1159
192,192_0,FAILED,SOBOL,3281,0.664144185036420808820878391998,0.576821393061429210646906540205,4382,3524,1326
193,193_0,FAILED,SOBOL,1819,0.398963291661813879152020945185,0.490239885346963999435132564031,1082,2004,4393
194,194_0,FAILED,SOBOL,122,0.795151892052963327195413967274,0.810125109508633589605608449347,2557,668,2655
195,195_0,FAILED,SOBOL,4939,0.031122443020343781849845754550,0.130724251119419931921328270619,1678,4705,720
196,196_0,FAILED,SOBOL,3757,0.885158538611605760770828510431,0.315031382355838995845687122710,2204,3989,2376
197,197_0,FAILED,SOBOL,1148,0.183306003078818308127395653173,0.742771553130820438859416299238,3281,601,4272
198,198_0,FAILED,SOBOL,1906,0.513209239140152928548843647150,0.050524926483631132922980100375,361,1767,3704
199,199_0,FAILED,SOBOL,3037,0.310631888808682588010157132885,0.883989919347688557493825101119,3853,2667,598
200,200_0,FAILED,SOBOL,2805,0.819724609768018086519703047088,0.104518900789320468014409470925,3701,2404,1207
201,201_0,FAILED,SOBOL,2294,0.118146305810660129376188365313,0.953292150741443022887722236192,2076,3320,3106
202,202_0,FAILED,SOBOL,906,0.701443934362381726899116074492,0.276639233198016865067359049135,4372,4635,4882
203,203_0,FAILED,SOBOL,4155,0.498592352455481890860511384744,0.657883736113086370345115483360,176,1246,1773
204,204_0,FAILED,SOBOL,4536,0.604615037050098225179795008444,0.849716425560414823081600843580,898,65,148
205,205_0,FAILED,SOBOL,368,0.339586541643366213172328116343,0.217351957639679321809822454270,4900,4095,3218
206,206_0,FAILED,SOBOL,1445,0.981380273660644841804412408237,0.521643361162394292307453724789,1550,2912,3823
207,207_0,FAILED,SOBOL,3498,0.217198426660150295530726793913,0.419213111693039541805205772107,2977,1405,1886
208,208_0,FAILED,SOBOL,3688,0.957961205327883313920267482899,0.971284119276329849235196434165,569,4879,3357
209,209_0,FAILED,SOBOL,1370,0.225020153559744362503636239126,0.087379239574074743512888119312,3948,845,174
210,210_0,FAILED,SOBOL,568,0.581230020411312553463289987121,0.643667903022840603988186103379,2494,2179,2186
211,211_0,FAILED,SOBOL,4530,0.347381414586678149980514263007,0.289758154857903738044200281365,3294,3701,4001
212,212_0,FAILED,SOBOL,4286,0.740479840479791207030757504981,0.234339336140081289094894145819,2765,2531,2844
213,213_0,FAILED,SOBOL,655,0.443966778526082628264504137405,0.831633087396621673015317810496,1773,1629,990
214,214_0,FAILED,SOBOL,2396,0.858665075222030282908747267356,0.406002820404246456131858167282,4673,466,1674
215,215_0,FAILED,SOBOL,2505,0.063608023039996630654258069626,0.535706911537796259814570021263,1094,3851,4817
216,216_0,FAILED,SOBOL,2904,0.552149734336882858087847125717,0.444851787963882083776212539306,1254,1068,4175
217,217_0,FAILED,SOBOL,2155,0.256093635780736794682610479867,0.621112579014152288436889648438,2950,4460,2324
218,218_0,FAILED,SOBOL,1043,0.924194414986297507752510682622,0.179888483947142963081944344594,675,3144,352
219,219_0,FAILED,SOBOL,4054,0.128680399406701340137004763164,0.761813184000551646413157413917,4800,2229,3493
220,220_0,FAILED,SOBOL,4747,0.771766845671460033351252150169,0.698388997549191148372926818411,4076,1542,4679
221,221_0,FAILED,SOBOL,194,0.038917286220937964691390931193,0.360267197024077168165945295186,149,3047,1499
222,222_0,FAILED,SOBOL,1617,0.640725146446377014086692724959,0.932149562140926701836463053041,3478,4233,855
223,223_0,FAILED,SOBOL,3285,0.406785048304125651519314033067,0.001269324027001857840835086222,1976,201,2667
224,224_0,FAILED,SOBOL,3427,0.798825200416147684912004933722,0.250993980998173271679263507394,1243,2773,3558
225,225_0,FAILED,SOBOL,1672,0.003571019077673554583535198148,0.682918400060385510919047646894,4543,1858,412
226,226_0,FAILED,SOBOL,288,0.675554501885548219775046163704,0.110548445841297512948209202932,1819,541,2229
227,227_0,FAILED,SOBOL,4773,0.379269025631248923868810152271,0.947626626811921557447249142569,2699,3933,4086
228,228_0,FAILED,SOBOL,3923,0.517325080106034840277118291851,0.512080621043220163279841017356,3423,4800,2742
229,229_0,FAILED,SOBOL,982,0.283612452410161475224725791122,0.429142787721008056589511170387,2345,767,925
230,230_0,FAILED,SOBOL,2053,0.897131359033286557291830831673,0.870853873318061189046090930788,4015,1952,1414
231,231_0,FAILED,SOBOL,2891,0.164023872593417774368163009058,0.195606836415827267661171617874,522,3458,4599
232,232_0,FAILED,SOBOL,2639,0.705620818538591265678405761719,0.784968113763257813175755472912,1924,1300,3911
233,233_0,FAILED,SOBOL,2461,0.471512378472834836617977316564,0.156247171521186833942351768201,3550,2823,2090
234,234_0,FAILED,SOBOL,759,0.831636416722089100161952046619,0.582364585192874040231458820926,5,4157,236
235,235_0,FAILED,SOBOL,4301,0.098924742652103311857381129357,0.484088008496910360278775442566,4200,122,3423
236,236_0,FAILED,SOBOL,4390,0.984992776755243548691964861064,0.040473929909989235509382154987,4729,1150,4736
237,237_0,FAILED,SOBOL,515,0.189708254126831898922489472170,0.893431338921189310831039165350,726,4535,1588
238,238_0,FAILED,SOBOL,1280,0.616086129425093553813042035472,0.336655183034017702059514931534,2825,3371,1061
239,239_0,FAILED,SOBOL,3664,0.319830994460731765638428214515,0.721512784827500586182225106313,1399,2469,2920
240,240_0,FAILED,SOBOL,3522,0.577069556074216949426158862479,0.170447776339948176005378854825,3807,3757,1840
241,241_0,FAILED,SOBOL,1537,0.374445444613695166413691595153,0.771864420374855364492816534039,427,367,4944
242,242_0,FAILED,SOBOL,421,0.946063435077667214123664507497,0.466111268233507847202901075434,3132,1681,3010
243,243_0,FAILED,SOBOL,4676,0.244227204130962494144085894732,0.599489018136635465339168149512,2333,2598,1117
244,244_0,FAILED,SOBOL,4139,0.855036628171801593722989309754,0.906626401938497972210484476818,1611,3596,1962
245,245_0,FAILED,SOBOL,801,0.091114615412428975882441761769,0.026425607806071640254463872566,2604,2088,3894
246,246_0,FAILED,SOBOL,2231,0.728994235517457123130213858531,0.704540634598582959924328861234,953,905,3132
247,247_0,FAILED,SOBOL,2672,0.463736362412571934132898832104,0.354723292926326372320744440003,4531,4935,67
248,248_0,FAILED,SOBOL,3050,0.920504686783999215293761153589,0.633738938961178055464529279561,3121,297,630
249,249_0,FAILED,SOBOL,2008,0.156247767305001616922055518444,0.299321134777739639165616836181,1426,4334,2560
250,250_0,FAILED,SOBOL,1210,0.540725380783900644310335792397,0.993029952466487841888920229394,4952,2997,4454
251,251_0,FAILED,SOBOL,3888,0.275802414398640394210815429688,0.066242031617090108008838456044,826,1477,1391
252,252_0,FAILED,SOBOL,4913,0.636625249436125195678926047549,0.380967916656285543464122156365,301,2334,518
253,253_0,FAILED,SOBOL,28,0.433788064863532774051435580986,0.561351451771333831430865757284,4227,3233,3620
254,254_0,FAILED,SOBOL,1763,0.759808537837117881075243985833,0.240004620268940926930412160800,2147,4399,4342
255,255_0,FAILED,SOBOL,3138,0.058185380002483723382855629325,0.825602830378338703454232927470,3650,1011,2451
