trial_index,arm_name,trial_status,generation_method,result,n_samples,n_permutations,update_interval,n_consecutive_deviations
110,110_0,COMPLETED,BoTorch,0.283566472078422782132633983565,100,37,144,3
111,111_0,COMPLETED,BoTorch,0.289899768696993076488865881402,803,50,151,1
112,112_0,COMPLETED,BoTorch,0.281308514153541189273255440639,100,11,153,3
113,113_0,COMPLETED,BoTorch,0.278499834783566435625346002780,708,20,145,1
114,114_0,RUNNING,BoTorch,,1000,10,140,2
115,115_0,COMPLETED,BoTorch,0.283401255644894822793844468833,1000,10,158,1
116,116_0,COMPLETED,BoTorch,0.282244740610199329466922790743,673,10,148,2
117,117_0,COMPLETED,BoTorch,0.284117193523515831898862415983,1000,10,140,1
118,118_0,COMPLETED,BoTorch,0.281363586298050472045417791378,697,10,141,1
119,119_0,COMPLETED,BoTorch,0.282465029188236571577874656214,1000,10,155,2
120,120_0,COMPLETED,BoTorch,0.291221500165216418132274611708,772,11,142,1
121,121_0,COMPLETED,BoTorch,0.289349047251900026722637448984,950,10,158,3
122,122_0,COMPLETED,BoTorch,0.290009912986011642033190582879,627,10,142,2
123,123_0,COMPLETED,BoTorch,0.290946139442669893249160395499,757,14,158,1
124,124_0,COMPLETED,BoTorch,0.283346183500385540021682118095,1000,10,150,1
125,125_0,COMPLETED,BoTorch,0.287201233616036999407583607535,1000,10,145,3
126,126_0,COMPLETED,BoTorch,0.289789624407974399922238717409,806,12,149,3
127,127_0,COMPLETED,BoTorch,0.284007049234497155332235251990,1000,10,152,1
128,128_0,COMPLETED,BoTorch,0.279821566251789888291057195602,842,10,158,1
129,129_0,COMPLETED,BoTorch,0.289734552263465117150076366670,785,10,149,3
130,130_0,COMPLETED,BoTorch,0.283676616367441347676958685042,632,10,147,1
131,131_0,COMPLETED,BoTorch,0.274534640378896299672817349347,141,22,143,2
132,132_0,COMPLETED,BoTorch,0.287201233616036999407583607535,1000,10,133,1
133,133_0,COMPLETED,BoTorch,0.289404119396409309494799799722,616,50,134,4
134,134_0,COMPLETED,BoTorch,0.285163564269192648659156930080,1000,22,145,2
135,135_0,COMPLETED,BoTorch,0.288082387928185967851391069416,100,26,139,3
136,136_0,COMPLETED,BoTorch,0.289349047251900026722637448984,948,50,152,5
137,137_0,COMPLETED,BoTorch,0.286705584315453232413517525856,1000,50,122,5
138,138_0,COMPLETED,BoTorch,0.287036017182509040068794092804,100,34,140,2
139,139_0,COMPLETED,BoTorch,0.278004185482982668631279921101,123,10,132,2
140,140_0,COMPLETED,BoTorch,0.280207071263354978718496113288,330,50,139,3
141,141_0,COMPLETED,BoTorch,0.286209935014869465419451444177,100,27,139,2
142,142_0,COMPLETED,BoTorch,0.286595440026434666869192824379,1000,21,133,1
143,143_0,COMPLETED,BoTorch,0.279105628373168879186039248452,856,10,124,1
144,144_0,COMPLETED,BoTorch,0.286540367881925273074728011125,108,10,105,2
145,145_0,COMPLETED,BoTorch,0.294691045269302787090737183462,1000,10,179,1
146,146_0,COMPLETED,BoTorch,0.278499834783566435625346002780,321,10,134,1
147,147_0,COMPLETED,BoTorch,0.288467892939751058278829987103,100,10,126,1
148,148_0,COMPLETED,BoTorch,0.282024452032162087355970925273,268,10,142,2
149,149_0,COMPLETED,BoTorch,0.282740389910783096460988872423,273,10,139,1
150,150_0,COMPLETED,BoTorch,0.288192532217204533395715770894,100,19,135,1
151,151_0,COMPLETED,BoTorch,0.289569335829937268833589314454,100,10,138,3
152,152_0,COMPLETED,BoTorch,0.286760656459962515185679876595,100,10,137,1
153,153_0,COMPLETED,BoTorch,0.277618680471417578203841003415,324,10,151,2
154,154_0,COMPLETED,BoTorch,0.284612842824099598892928497662,374,22,143,2
155,155_0,COMPLETED,BoTorch,0.287751955061130049173812039953,1000,21,156,1
156,156_0,COMPLETED,BoTorch,0.291662077321290902354178342648,100,10,101,1
157,157_0,COMPLETED,BoTorch,0.291551933032272225787551178655,100,10,110,2
158,158_0,COMPLETED,BoTorch,0.287862099350148725740439203946,460,19,152,2
159,159_0,COMPLETED,BoTorch,0.287917171494658008512601554685,1000,50,91,5
160,160_0,COMPLETED,BoTorch,0.286154862870360182647289093438,100,10,139,2
161,161_0,COMPLETED,BoTorch,0.283621544222932064904796334304,477,10,142,2
162,162_0,COMPLETED,BoTorch,0.277563608326908295431678652676,535,10,138,1
163,163_0,COMPLETED,BoTorch,0.289844696552483793716703530663,576,10,133,1
164,164_0,COMPLETED,BoTorch,0.281198369864522512706628276646,541,18,141,1
165,165_0,COMPLETED,BoTorch,0.289128758673862784611685583513,100,10,152,2
166,166_0,COMPLETED,BoTorch,0.281473730587069037589742492855,476,10,149,1
167,167_0,COMPLETED,BoTorch,0.293314241656570051652863639902,221,20,151,2
168,168_0,COMPLETED,BoTorch,0.279270844806696727502526300668,486,10,139,2
169,169_0,RUNNING,BoTorch,,761,10,133,1
170,170_0,COMPLETED,BoTorch,0.290560634431104691799419015297,585,19,142,2
171,171_0,COMPLETED,BoTorch,0.282299812754708723261387603998,665,22,131,1
172,172_0,COMPLETED,BoTorch,0.289569335829937268833589314454,424,50,130,3
173,173_0,COMPLETED,BoTorch,0.286650512170943949641355175117,1000,50,104,5
174,174_0,COMPLETED,BoTorch,0.275360722546535985344462460489,148,46,162,4
175,175_0,COMPLETED,BoTorch,0.286980945037999757296631742065,1000,10,108,1
176,176_0,COMPLETED,BoTorch,0.277067959026324528437612570997,694,10,137,1
177,177_0,COMPLETED,BoTorch,0.285824430003304374992012526491,323,50,159,4
178,178_0,COMPLETED,BoTorch,0.284778059257627447209415549878,376,29,136,1
179,179_0,COMPLETED,BoTorch,0.288192532217204533395715770894,1000,50,118,2
180,180_0,COMPLETED,BoTorch,0.289679480118955834377914015931,100,27,158,4
181,181_0,COMPLETED,BoTorch,0.284062121379006549126700065244,1000,22,120,1
182,182_0,COMPLETED,BoTorch,0.290670778720123368366046179290,100,50,177,5
183,183_0,COMPLETED,BoTorch,0.284392554246062356781976632192,100,50,165,5
184,184_0,COMPLETED,BoTorch,0.290560634431104691799419015297,100,50,160,3
185,185_0,RUNNING,BoTorch,,733,10,135,2
186,186_0,COMPLETED,BoTorch,0.277838969049454820314792868885,507,50,129,5
187,187_0,COMPLETED,BoTorch,0.286209935014869465419451444177,100,10,146,5
188,188_0,COMPLETED,BoTorch,0.286375151448397424758240958909,100,50,157,4
189,189_0,COMPLETED,BoTorch,0.289844696552483793716703530663,745,20,115,1
190,190_0,COMPLETED,BoTorch,0.279436061240224686841315815400,157,50,162,4
191,191_0,COMPLETED,BoTorch,0.287366450049564958746373122267,535,10,127,1
192,192_0,COMPLETED,BoTorch,0.282244740610199329466922790743,161,38,155,3
193,193_0,COMPLETED,BoTorch,0.283401255644894822793844468833,368,50,140,5
194,194_0,COMPLETED,BoTorch,0.273873774644784684362264215451,141,50,131,5
195,195_0,RUNNING,BoTorch,,601,37,131,1
196,196_0,COMPLETED,BoTorch,0.286154862870360182647289093438,395,50,143,4
197,197_0,COMPLETED,BoTorch,0.275305650402026702572300109750,519,50,157,4
198,198_0,COMPLETED,BoTorch,0.288192532217204533395715770894,100,50,130,2
199,199_0,COMPLETED,BoTorch,0.285989646436832223308499578707,1000,38,135,5
200,200_0,COMPLETED,BoTorch,0.286650512170943949641355175117,100,40,144,1
201,201_0,RUNNING,BoTorch,,560,50,146,4
202,202_0,COMPLETED,BoTorch,0.287972243639167291284763905423,203,50,117,5
203,203_0,COMPLETED,BoTorch,0.286540367881925273074728011125,100,50,135,3
204,204_0,COMPLETED,BoTorch,0.289073686529353501839523232775,555,50,117,1
205,205_0,COMPLETED,BoTorch,0.280041854829827019379706598556,467,50,151,5
206,206_0,COMPLETED,BoTorch,0.280812864852957422279189358960,100,50,142,5
207,207_0,COMPLETED,BoTorch,0.290175129419539601371980097611,244,50,137,5
208,208_0,COMPLETED,BoTorch,0.280592576274920180168237493490,649,50,163,5
209,209_0,RUNNING,BoTorch,,458,40,136,5
210,210_0,COMPLETED,BoTorch,0.282630245621764530916664170945,321,50,136,5
211,211_0,COMPLETED,BoTorch,0.288798325806806865934106554050,626,50,143,5
212,212_0,COMPLETED,BoTorch,0.280978081286485270595676411176,302,50,147,4
213,213_0,COMPLETED,BoTorch,0.285714285714285698425385362498,1000,34,124,1
214,214_0,COMPLETED,BoTorch,0.287311377905055675974210771528,1000,50,110,1
215,215_0,COMPLETED,BoTorch,0.291441788743253660243226477178,209,50,143,5
216,216_0,COMPLETED,BoTorch,0.286154862870360182647289093438,623,38,156,5
217,217_0,COMPLETED,BoTorch,0.288578037228769734845457151096,993,50,138,4
218,218_0,COMPLETED,BoTorch,0.284943275691155406548205064610,389,50,157,5
219,219_0,COMPLETED,BoTorch,0.293644674523625970330442669365,401,50,170,5
220,220_0,COMPLETED,BoTorch,0.284227337812534397443187117460,100,39,152,5
221,221_0,COMPLETED,BoTorch,0.292598303777949153570148155268,427,50,155,4
222,222_0,COMPLETED,BoTorch,0.288853397951316259728571367305,433,50,154,3
223,223_0,COMPLETED,BoTorch,0.287751955061130049173812039953,1000,50,179,5
224,224_0,COMPLETED,BoTorch,0.291827293754818861692967857380,774,44,174,5
225,225_0,COMPLETED,BoTorch,0.288798325806806865934106554050,1000,50,198,5
226,226_0,COMPLETED,BoTorch,0.288082387928185967851391069416,629,50,117,5
227,227_0,COMPLETED,BoTorch,0.280592576274920180168237493490,315,42,162,5
228,228_0,COMPLETED,BoTorch,0.302621434078643058995794490329,1000,49,184,5
229,229_0,COMPLETED,BoTorch,0.287091089327018433863258906058,1000,10,123,2
230,230_0,COMPLETED,BoTorch,0.288743253662297583161944203312,100,50,134,4
231,231_0,COMPLETED,BoTorch,0.289183830818372067383847934252,1000,10,132,2
232,232_0,COMPLETED,BoTorch,0.293754818812644535874767370842,412,13,136,1
233,233_0,COMPLETED,BoTorch,0.293534530234607293763815505372,583,10,156,4
234,234_0,COMPLETED,BoTorch,0.289844696552483793716703530663,599,50,122,5
235,235_0,COMPLETED,BoTorch,0.285438924991739173542271146289,1000,25,108,5
236,236_0,COMPLETED,BoTorch,0.296398281749091330183887293970,414,10,117,5
237,237_0,COMPLETED,BoTorch,0.294470756691265544979785317992,100,50,107,1
238,238_0,COMPLETED,BoTorch,0.290175129419539601371980097611,762,18,139,1
239,239_0,COMPLETED,BoTorch,0.276957814737305851870985407004,345,43,148,5
240,240_0,COMPLETED,BoTorch,0.287366450049564958746373122267,100,33,146,4
241,241_0,COMPLETED,BoTorch,0.281749091309615562472856709064,276,40,148,4
242,242_0,COMPLETED,BoTorch,0.293424385945588728219490803895,100,50,92,1
243,243_0,COMPLETED,BoTorch,0.286870800748981191752307040588,1000,50,250,1
244,244_0,COMPLETED,BoTorch,0.286430223592906707530403309647,819,39,143,5
245,245_0,COMPLETED,BoTorch,0.278389690494547870081021301303,332,20,136,3
246,246_0,COMPLETED,BoTorch,0.291056283731688458793485096976,219,50,107,2
247,247_0,COMPLETED,BoTorch,0.287146161471527716635421256797,1000,41,133,1
248,248_0,COMPLETED,BoTorch,0.284172265668025114671024766722,100,46,150,4
249,249_0,COMPLETED,BoTorch,0.278169401916510627970069435833,362,41,150,3
250,250_0,COMPLETED,BoTorch,0.280041854829827019379706598556,532,36,145,4
251,251_0,COMPLETED,BoTorch,0.279656349818261928952267680870,512,41,148,4
252,252_0,COMPLETED,BoTorch,0.279105628373168879186039248452,493,33,141,2
253,253_0,COMPLETED,BoTorch,0.280702720563938745712562194967,740,46,151,4
254,254_0,COMPLETED,BoTorch,0.290560634431104691799419015297,604,41,142,4
255,255_0,COMPLETED,BoTorch,0.288412820795241775506667636364,1000,30,123,5
256,256_0,COMPLETED,BoTorch,0.287366450049564958746373122267,100,36,163,5
257,257_0,COMPLETED,BoTorch,0.286870800748981191752307040588,100,31,148,5
258,258_0,COMPLETED,BoTorch,0.283125894922348297910730252624,379,38,143,5
259,259_0,COMPLETED,BoTorch,0.291441788743253660243226477178,1000,33,146,3
260,260_0,COMPLETED,BoTorch,0.288027315783676574056926256162,252,35,143,5
261,261_0,COMPLETED,BoTorch,0.286154862870360182647289093438,559,40,143,3
262,262_0,COMPLETED,BoTorch,0.288688181517788300389781852573,268,38,147,3
263,263_0,COMPLETED,BoTorch,0.278609979072585112191973166773,316,34,154,4
264,264_0,COMPLETED,BoTorch,0.278554906928075829419810816034,475,42,146,3
265,265_0,COMPLETED,BoTorch,0.284722987113118164437253199139,292,34,151,3
266,266_0,COMPLETED,BoTorch,0.296893931049675097177953375649,209,50,152,5
267,267_0,COMPLETED,BoTorch,0.276241876858684842765967459854,304,31,141,3
268,268_0,COMPLETED,BoTorch,0.291331644454235094698901775701,1000,10,108,4
269,269_0,COMPLETED,BoTorch,0.287201233616036999407583607535,565,27,122,1
270,270_0,COMPLETED,BoTorch,0.289569335829937268833589314454,1000,50,250,5
271,271_0,COMPLETED,BoTorch,0.289514263685427875039124501200,1000,10,96,5
272,272_0,COMPLETED,BoTorch,0.282244740610199329466922790743,471,50,140,5
273,273_0,COMPLETED,BoTorch,0.289624407974446551605751665193,243,24,147,3
274,274_0,COMPLETED,BoTorch,0.292157726621874669348244424327,404,35,157,5
275,275_0,COMPLETED,BoTorch,0.278059257627492062425744734355,297,33,143,2
276,276_0,COMPLETED,BoTorch,0.283511399933913388338169170311,364,37,141,4
277,277_0,COMPLETED,BoTorch,0.284833131402136841003880363132,392,50,148,3
278,278_0,COMPLETED,BoTorch,0.277343319748871053320726787206,336,16,139,2
279,279_0,COMPLETED,BoTorch,0.281088225575503947162303575169,315,36,148,2
280,280_0,COMPLETED,BoTorch,0.276131732569666277221642758377,486,45,145,2
281,281_0,COMPLETED,BoTorch,0.285824430003304374992012526491,254,42,135,4
282,282_0,COMPLETED,BoTorch,0.278665051217094394964135517512,286,40,140,3
283,283_0,COMPLETED,BoTorch,0.280482431985901503601610329497,353,10,137,3
284,284_0,COMPLETED,BoTorch,0.287366450049564958746373122267,391,29,141,2
285,285_0,COMPLETED,BoTorch,0.284667914968608881665090848401,431,35,142,3
286,286_0,COMPLETED,BoTorch,0.288027315783676574056926256162,664,50,103,5
287,287_0,COMPLETED,BoTorch,0.284282409957043680215349468199,290,49,158,3
288,288_0,COMPLETED,BoTorch,0.290009912986011642033190582879,557,22,150,1
289,289_0,COMPLETED,BoTorch,0.298160590373389156049199755216,1000,19,250,1
290,290_0,COMPLETED,BoTorch,0.284722987113118164437253199139,549,37,145,1
291,291_0,COMPLETED,BoTorch,0.287586738627602200857324987737,1000,10,240,1
292,292_0,RUNNING,BoTorch,,429,42,152,2
293,293_0,COMPLETED,BoTorch,0.281914307743143521811646223796,369,41,142,2
294,294_0,COMPLETED,BoTorch,0.292653375922458436342310506006,419,18,146,1
295,295_0,COMPLETED,BoTorch,0.292212798766383952120406775066,225,23,131,2
296,296_0,COMPLETED,BoTorch,0.292267870910893234892569125805,414,23,137,2
297,297_0,COMPLETED,BoTorch,0.282409957043727288805712305475,317,12,133,2
298,298_0,COMPLETED,BoTorch,0.294691045269302787090737183462,609,28,139,3
299,299_0,COMPLETED,BoTorch,0.280041854829827019379706598556,492,50,144,3
300,300_0,COMPLETED,BoTorch,0.290009912986011642033190582879,792,18,150,1
301,301_0,COMPLETED,BoTorch,0.282024452032162087355970925273,308,46,152,2
302,302_0,COMPLETED,BoTorch,0.282189668465690046694760440005,659,23,147,2
303,303_0,COMPLETED,BoTorch,0.280427359841392220829447978758,326,30,133,5
304,304_0,COMPLETED,BoTorch,0.288578037228769734845457151096,267,10,144,3
305,305_0,COMPLETED,BoTorch,0.287586738627602200857324987737,606,50,138,3
306,306_0,COMPLETED,BoTorch,0.275525938980063833660949512705,513,44,151,3
307,74_0,COMPLETED,BoTorch,0.286540367881925273074728011125,1000,50,144,1
308,308_0,COMPLETED,BoTorch,0.292378015199911911459196289798,1000,50,97,3
309,309_0,COMPLETED,BoTorch,0.287036017182509040068794092804,388,42,147,4
310,310_0,COMPLETED,BoTorch,0.289514263685427875039124501200,393,45,148,3
311,311_0,COMPLETED,BoTorch,0.290891067298160610476998044760,587,10,155,1
312,312_0,COMPLETED,BoTorch,0.288027315783676574056926256162,187,42,147,3
313,313_0,COMPLETED,BoTorch,0.286595440026434666869192824379,1000,31,119,3
314,314_0,COMPLETED,BoTorch,0.287531666483092807062860174483,273,50,147,2
315,315_0,COMPLETED,BoTorch,0.284007049234497155332235251990,473,45,144,4
316,316_0,RUNNING,BoTorch,,100,39,136,5
317,317_0,COMPLETED,BoTorch,0.284172265668025114671024766722,370,44,156,3
318,318_0,COMPLETED,BoTorch,0.293314241656570051652863639902,1000,50,229,1
319,319_0,COMPLETED,BoTorch,0.278720123361603677736297868250,288,30,145,4
320,320_0,COMPLETED,BoTorch,0.282244740610199329466922790743,100,10,168,4
321,321_0,COMPLETED,BoTorch,0.286485295737415990302565660386,993,10,125,1
322,322_0,COMPLETED,BoTorch,0.287201233616036999407583607535,100,31,131,4
323,323_0,COMPLETED,BoTorch,0.286595440026434666869192824379,1000,10,107,2
324,324_0,COMPLETED,BoTorch,0.283511399933913388338169170311,100,13,160,5
325,325_0,COMPLETED,BoTorch,0.286870800748981191752307040588,100,42,122,5
326,326_0,COMPLETED,BoTorch,0.285163564269192648659156930080,1000,14,142,1
327,327_0,COMPLETED,BoTorch,0.291441788743253660243226477178,450,16,154,3
328,328_0,COMPLETED,BoTorch,0.292047582332855992781617260334,405,13,130,3
329,329_0,COMPLETED,BoTorch,0.283346183500385540021682118095,461,35,151,4
330,330_0,COMPLETED,BoTorch,0.276517237581231367649081676063,696,10,133,3
331,331_0,COMPLETED,BoTorch,0.287366450049564958746373122267,218,17,155,5
332,332_0,COMPLETED,BoTorch,0.281088225575503947162303575169,100,34,168,4
333,333_0,COMPLETED,BoTorch,0.283180967066857580682892603363,100,37,174,4
334,334_0,COMPLETED,BoTorch,0.292488159488930477003520991275,205,31,138,4
335,335_0,COMPLETED,BoTorch,0.289293975107390632928172635729,417,30,137,4
336,336_0,COMPLETED,BoTorch,0.272992620332635715918456753570,138,10,146,1
337,337_0,COMPLETED,BoTorch,0.290670778720123368366046179290,602,35,126,5
338,338_0,COMPLETED,BoTorch,0.279601277673752646180105330131,147,36,135,3
339,339_0,COMPLETED,BoTorch,0.290615706575614085593883828551,800,50,131,5
340,340_0,COMPLETED,BoTorch,0.289459191540918592266962150461,100,30,126,1
341,341_0,COMPLETED,BoTorch,0.285659213569776415653223011759,100,22,169,5
342,342_0,COMPLETED,BoTorch,0.282850534199801773027616036416,463,10,142,1
343,343_0,COMPLETED,BoTorch,0.287696882916620766401649689215,1000,10,139,5
344,344_0,COMPLETED,BoTorch,0.278940411939640919847249733721,326,19,155,4
345,345_0,COMPLETED,BoTorch,0.283841832800969307015748199774,1000,50,110,5
346,346_0,COMPLETED,BoTorch,0.279325916951206121296991113923,301,40,158,4
347,347_0,COMPLETED,BoTorch,0.281749091309615562472856709064,538,43,156,3
348,348_0,COMPLETED,BoTorch,0.283841832800969307015748199774,722,10,156,2
