trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
10,,,,,,,,,,,,,,,10_0,FAILED,SOBOL,,,4517,390,1004,0.028930210465565323746384152059,0.854577530734241030963005414378,0.660813569832593206143656061613,str\(\'t-test\'\),8,str\(\'bounded\'\)
11,,,,,,,,,,,,,,,11_0,FAILED,SOBOL,,,1136,4612,4355,0.627383622851222733096676620335,0.377313784910365934699427725718,6.971550546404905901454185368493,str\(\'ks-test\'\),28,str\(\'bounded\'\)
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,4.000000000000000000000000000000,0.000000000000000000000000000000,342,920,3607,0.538841697324067392393942554918,0.268198037985712289810180664062,9.584297631090507252338284160942,str\(\'t-test\'\),5,str\(\'bounded\'\)
13,,,,,,,,,,,,,,,13_0,FAILED,SOBOL,,,3987,4083,1661,0.182038103552535163176528953954,0.995002726519480296119013473799,3.429795495132915927882777396007,str\(\'ks-test\'\),38,str\(\'bounded\'\)
14,,,,,,,,,,,,,,,14_0,FAILED,SOBOL,,,3431,2063,4803,0.805061002850532503316571819596,0.650972380824387020226140521117,1.949620264946483105816810166289,str\(\'t-test\'\),46,str\(\'bounded\'\)
15,,,,,,,,,,,,,,,15_0,FAILED,SOBOL,,,2246,2939,475,0.413356865374371384991292188715,0.113237629948183898820346371394,5.759942027078942317075416212901,str\(\'ks-test\'\),16,str\(\'bounded\'\)
16,,,,,,,,,,,,,,,16_0,FAILED,SOBOL,,,2429,1936,3009,0.725662869885563832639263637247,0.798542719883844287487306701223,3.596120383689179966779647656949,str\(\'ks-test\'\),46,str\(\'bounded\'\)
17,,,,,,,,,,,,,,,17_0,FAILED,SOBOL,,,3149,3066,2338,0.119480157954618332327711982543,0.464536066018044924152974317622,9.945229190922342255021249002311,str\(\'t-test\'\),13,str\(\'bounded\'\)
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,5.000000000000000000000000000000,0.000000000000000000000000000000,3804,734,4205,0.992490365657955453393412881269,0.182876710632815964174824330257,5.965363633918576269365985353943,str\(\'ks-test\'\),5,str\(\'bounded\'\)
19,,,,,,,,,,,,,,,19_0,FAILED,SOBOL,,,623,4268,1151,0.351165346341207607050449723829,0.581211864341050432614110832219,2.271531392810866467613095665001,str\(\'t-test\'\),35,str\(\'bounded\'\)
20,,,,,,,,,,,,,,,20_0,FAILED,SOBOL,,,1026,497,1812,0.439699665168300279916024919658,0.690435027090832598162251088070,4.885155788754113714844606874976,str\(\'ks-test\'\),9,str\(\'bounded\'\)
21,,,,,,,,,,,,,,,21_0,FAILED,SOBOL,,,4569,4505,3459,0.839390079271048361597706843895,0.042587513424456123478645253044,8.735222833227366479036390956026,str\(\'t-test\'\),26,str\(\'bounded\'\)
22,,,,,,,,,,,,,,,22_0,FAILED,SOBOL,,,2703,1875,352,0.216359562119469051033604500844,0.324243305260315528570913556905,7.254398871362210066138231923105,str\(\'ks-test\'\),43,str\(\'bounded\'\)
23,,,,,,,,,,,,,,,23_0,FAILED,SOBOL,,,1700,3127,4929,0.565192107535898657921791254921,0.907769929502159400591665416869,1.061525202737189754742530567455,str\(\'t-test\'\),23,str\(\'bounded\'\)
24,,,,,,,,,,,,,,,24_0,FAILED,SOBOL,,,1313,1143,168,0.754356583351269316395359965099,0.422645038383081539379304558679,1.739519295345060445612261901260,str\(\'ks-test\'\),12,str\(\'bounded\'\)
25,,,,,,,,,,,,,,,25_0,FAILED,SOBOL,,,3093,3859,4476,0.401442651119083171451507041638,0.836664895322173807201693307434,5.549896111762151917901064734906,str\(\'t-test\'\),29,str\(\'bounded\'\)
26,,,,,,,,,,,,,,,26_0,FAILED,SOBOL,,,4958,2441,1363,0.525473166411742576009658023395,0.554998130282387092115925497637,9.071454416768625961253746936563,str\(\'ks-test\'\),40,str\(\'bounded\'\)
27,,,,,,,,,,,,,,,27_0,FAILED,SOBOL,,,640,2561,3290,0.129864135406911385128836400327,0.205305821418762218799614061027,2.917007335095666231694622183568,str\(\'t-test\'\),20,str\(\'bounded\'\)
28,,,,,,,,,,,,,,,28_0,FAILED,SOBOL,,,233,1252,4028,0.033473932027816774570361246788,0.064921810002997515365308345281,0.529189987279474749470864480827,str\(\'ks-test\'\),49,str\(\'bounded\'\)
29,,,,,,,,,,,,,,,29_0,FAILED,SOBOL,,,4191,3750,696,0.686433144418522767082890823076,0.664073176156729449992610625486,6.839871909567155405795801925706,str\(\'t-test\'\),17,str\(\'bounded\'\)
30,,,,,,,,,,,,,,,30_0,FAILED,SOBOL,,,3536,130,2568,0.312422938574105524267565670016,0.945735894327983217522159975488,7.861124978330918722235765017103,str\(\'ks-test\'\),2,str\(\'bounded\'\)
31,,,,,,,,,,,,,,,31_0,FAILED,SOBOL,,,2040,4873,2166,0.906971461148932567297720197530,0.282264590516686453280925661602,4.206983263272793038822783273645,str\(\'t-test\'\),32,str\(\'bounded\'\)
32,,,,,,,,,,,,,,,32_0,FAILED,SOBOL,,,2154,1544,1050,0.589030866064131242154644496622,0.720615083614364215769398924749,3.055002687486819912265900711645,str\(\'ks-test\'\),30,str\(\'bounded\'\)
33,,,,,,,,,,,,,,,33_0,FAILED,SOBOL,,,3504,3456,4221,0.193249321719631550475781978093,0.012278020311146973370108881340,9.243680943978949571260272932705,str\(\'t-test\'\),13,str\(\'bounded\'\)
34,,,,,,,,,,,,,,,34_0,FAILED,SOBOL,,,4080,187,2363,0.817239219974726482931259852194,0.354371010882779946538079229867,5.411849281007424572464969969587,str\(\'ks-test\'\),21,str\(\'bounded\'\)
35,,,,,,,,,,,,,,,35_0,FAILED,SOBOL,,,269,4813,2918,0.464528261343017223605755816607,0.877528008125722402965607216174,1.567351398340426360533683691756,str\(\'t-test\'\),41,str\(\'bounded\'\)
36,,,,,,,,,,,,,,,36_0,FAILED,SOBOL,,,760,1044,4748,0.374229366557672638027298717134,0.768427387231960912217232362309,4.345029945030809415129624539986,str\(\'ks-test\'\),17,str\(\'bounded\'\)
37,,,,,,,,,,,,,,,37_0,FAILED,SOBOL,,,4913,3956,599,0.968696756575256556764941251458,0.494780842695385192353541015109,8.033293024332262888265177025460,str\(\'t-test\'\),50,str\(\'bounded\'\)
38,,,,,,,,,,,,,,,38_0,FAILED,SOBOL,,,2970,2264,3717,0.094727167768403883196803860756,0.152691895274445404995233843692,6.701876706172712694353776896605,str\(\'ks-test\'\),33,str\(\'bounded\'\)
39,,,,,,,,,,,,,,,39_0,FAILED,SOBOL,,,1356,2736,1639,0.747737052455544448648083744047,0.611510888017714027142801569426,0.356963311072438949089757898037,str\(\'t-test\'\),3,str\(\'bounded\'\)
40,,,,,,,,,,,,,,,40_0,FAILED,SOBOL,,,1589,438,3267,0.928983124526217562966223795229,0.095232254883274441992213610320,2.450908793659880569038023168105,str\(\'ks-test\'\),14,str\(\'bounded\'\)
41,,,,,,,,,,,,,,,41_0,FAILED,SOBOL,,,2739,4562,1457,0.287729731250554343624514785915,0.633892167866230038519859135704,6.100701853468083690756884607254,str\(\'t-test\'\),47,str\(\'bounded\'\)
42,,,,,,,,,,,,,,,42_0,FAILED,SOBOL,,,4682,1581,4580,0.662699318198487152820064238767,0.975976863937452421282614523079,9.765946328486315053396538132802,str\(\'ks-test\'\),36,str\(\'bounded\'\)
43,,,,,,,,,,,,,,,43_0,FAILED,SOBOL,,,993,3419,153,0.056475433051586150512424211456,0.252137836661189773668212410485,3.460680473884567565079350970336,str\(\'t-test\'\),6,str\(\'bounded\'\)
44,,,,,,,,,,,,,,,44_0,FAILED,SOBOL,,,499,2111,1905,0.154512193284928794900778825649,0.392399309938773532824285439347,1.240807916176505321104173162894,str\(\'ks-test\'\),27,str\(\'bounded\'\)
45,,,,,,,,,,,,,,,45_0,FAILED,SOBOL,,,3847,2889,2738,0.503507723217830105433279186400,0.866781179741024976337371299451,7.389838930163532992878572258633,str\(\'t-test\'\),10,str\(\'bounded\'\)
46,,,,,,,,,,,,,,,46_0,FAILED,SOBOL,,,3271,831,875,0.378517826821655023472601442336,0.524700058372691291452838413534,8.555845581375061570383877551649,str\(\'ks-test\'\),24,str\(\'bounded\'\)
47,,,,,,,,,,,,,,,47_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,2384,4169,3778,0.778014803582802394466000350803,0.235489685010164984113600894489,4.749817420207896212502873822814,str\(\'t-test\'\),44,str\(\'bounded\'\)
48,,,,,,,,,,,,,,,48_0,FAILED,SOBOL,,,2279,626,1312,0.092441013287752865634772092562,0.922866831120103592311920692737,7.146007181883790693177616049070,str\(\'t-test\'\),24,str\(\'bounded\'\)
49,,,,,,,,,,,,,,,49_0,FAILED,SOBOL,,,3317,4374,3409,0.690815676251426369347541367461,0.336435339735820904127905350833,0.801148841068148653832281524956,str\(\'ks-test\'\),41,str\(\'bounded\'\)
50,,,,,,,,,,,,,,,50_0,FAILED,SOBOL,,,3952,2003,281,0.315838471449911617483508052828,0.056725197523832322776815573206,4.466888879146427626665172283538,str\(\'t-test\'\),27,str\(\'bounded\'\)
51,,,,,,,,,,,,,,,51_0,FAILED,SOBOL,,,453,2996,4450,0.964956315180286794408459627448,0.703586754968389849196341856441,8.155207012732512694697106780950,str\(\'ks-test\'\),7,str\(\'bounded\'\)
52,,,,,,,,,,,,,,,52_0,FAILED,SOBOL,,,1181,1767,2610,0.866911948246881336466174161615,0.563187141638249122443937721982,5.934457143766806552775960881263,str\(\'t-test\'\),37,str\(\'bounded\'\)
53,,,,,,,,,,,,,,,53_0,FAILED,SOBOL,,,4397,3233,2036,0.475037673130631443729754437300,0.165815131487324823877926860405,2.089904206815175857769872891367,str\(\'ks-test\'\),4,str\(\'bounded\'\)
54,,,,,,,,,,,,,,,54_0,FAILED,SOBOL,,,2551,565,3923,0.600019959108904044065013749787,0.445521698996424686534112424852,3.255339008650742549377810064470,str\(\'t-test\'\),15,str\(\'bounded\'\)
55,,,,,,,,,,,,,,,55_0,FAILED,SOBOL,,,1874,4435,732,0.243416955802589651813860882612,0.782471260940656110349777918600,9.443962210858240169386590423528,str\(\'ks-test\'\),45,str\(\'bounded\'\)
56,,,,,,,,,,,,,,,56_0,FAILED,SOBOL,,,1480,2371,4096,0.436299594787880773427701797118,0.300270203523337830819883720324,7.750444643501192665269172721310,str\(\'t-test\'\),34,str\(\'bounded\'\)
57,,,,,,,,,,,,,,,57_0,FAILED,SOBOL,,,2942,2629,1173,0.781389755308628086716282723501,0.962816345227882286472720352322,3.944318367999978480753497933620,str\(\'ks-test\'\),1,str\(\'bounded\'\)
58,,,,,,,,,,,,,,,58_0,FAILED,SOBOL,,,4788,1249,3065,0.157407474907115096929288711181,0.683098800797015459629335509817,0.113211723023094248952169493805,str\(\'t-test\'\),18,str\(\'bounded\'\)
59,,,,,,,,,,,,,,,59_0,FAILED,SOBOL,,,787,3751,2213,0.560794589091092365862323276815,0.080981773385778069163087877769,6.262144622676075300660158973187,str\(\'ks-test\'\),48,str\(\'bounded\'\)
60,,,,,,,,,,,,,,,60_0,FAILED,SOBOL,,,61,60,451,0.651101090576499674789090477134,0.190220534332096569141157260674,9.038259318514727524984664341900,str\(\'t-test\'\),21,str\(\'bounded\'\)
61,,,,,,,,,,,,,,,61_0,FAILED,SOBOL,,,4346,4940,4898,0.005942331606522202602782556369,0.542794719217345122963536141469,2.733091578247025754677679287852,str\(\'ks-test\'\),38,str\(\'bounded\'\)
62,,,,,,,,,,,,,,,62_0,FAILED,SOBOL,,,3711,1358,1765,0.879919530831277385551913994277,0.822508220497518816038962086168,1.401026528408750859711062730639,str\(\'t-test\'\),31,str\(\'bounded\'\)
63,,,,,,,,,,,,,,,63_0,FAILED,SOBOL,,,1887,3642,3594,0.277585786825045921499821588441,0.409512539172545098065114643759,5.050917702551000587618545978330,str\(\'ks-test\'\),10,str\(\'bounded\'\)
64,,,,,,,,,,,,,,,64_0,FAILED,SOBOL,,,1933,2207,1683,0.789259171867743081207891009399,0.007464694024994969652475607091,9.640788262639194527992003713734,str\(\'ks-test\'\),7,str\(\'bounded\'\)
65,,,,,,,,,,,,,,,65_0,FAILED,SOBOL,,,3742,2795,3663,0.428671469744294875159340563187,0.733345200102776262340853463684,3.296559637797065178688171727117,str\(\'t-test\'\),28,str\(\'bounded\'\)
66,,,,,,,,,,,,,,,66_0,COMPLETED,SOBOL,4.000000000000000000000000000000,0.000000000000000000000000000000,4299,1064,536,0.552701866066083291606503280491,0.888311287140473693213493788789,1.971782091581262719159894913901,str\(\'ks-test\'\),42,str\(\'bounded\'\)
67,,,,,,,,,,,,,,,67_0,FAILED,SOBOL,,,29,3938,4820,0.164766842894256110296780093449,0.351508329138159769655658237753,5.660729829393328138564811524702,str\(\'t-test\'\),25,str\(\'bounded\'\)
68,,,,,,,,,,,,,,,68_0,FAILED,SOBOL,,,824,207,2824,0.014042166858911513116492386644,0.491797288404777654946542497783,8.429563353969715677749263704754,str\(\'ks-test\'\),44,str\(\'bounded\'\)
69,,,,,,,,,,,,,,,69_0,FAILED,SOBOL,,,4830,4795,2447,0.643733621416613499555126054474,0.779087886448949551443377004034,4.584381967516616640523352543823,str\(\'t-test\'\),15,str\(\'bounded\'\)
70,,,,,,,,,,,,,,,70_0,FAILED,SOBOL,,,2907,1487,4333,0.269723534543067244850789165866,0.624118228426203125458471276943,0.760557313283905411793739403947,str\(\'ks-test\'\),4,str\(\'bounded\'\)
71,,,,,,,,,,,,,,,71_0,FAILED,SOBOL,,,1440,3515,947,0.887539577009156310793969169026,0.147757692724466316303022495049,6.948552028740756725255778292194,str\(\'t-test\'\),37,str\(\'bounded\'\)
72,,,,,,,,,,,,,,,72_0,FAILED,SOBOL,,,1829,813,3841,0.698556085631251377776607114356,0.628957498727366282054163093562,5.245268956215121569641723908717,str\(\'ks-test\'\),48,str\(\'bounded\'\)
73,,,,,,,,,,,,,,,73_0,FAILED,SOBOL,,,2520,4189,802,0.084455535067245360303367363031,0.107840076752007005267408601412,1.439772880926728282346971354855,str\(\'t-test\'\),18,str\(\'bounded\'\)
74,,,,,,,,,,,,,,,74_0,FAILED,SOBOL,,,4443,2170,2694,0.957465623799711451624716573860,0.262797869289293883898750436856,2.617453200932592149996480657137,str\(\'ks-test\'\),1,str\(\'bounded\'\)
75,,,,,,,,,,,,,,,75_0,FAILED,SOBOL,,,1213,2832,1960,0.324058681057766084787630234132,0.972993791107088279446202250256,8.767016412545926229427095677238,str\(\'t-test\'\),33,str\(\'bounded\'\)
76,,,,,,,,,,,,,,,76_0,FAILED,SOBOL,,,416,1640,42,0.482521222541108740777815455658,0.863918983174487897791493651312,6.534017225993798305694326700177,str\(\'ks-test\'\),11,str\(\'bounded\'\)
77,,,,,,,,,,,,,,,77_0,FAILED,SOBOL,,,3909,3362,4682,0.858699810069054381145292609290,0.403182118646800535799457065878,0.228220402988605214344985938624,str\(\'t-test\'\),31,str\(\'bounded\'\)
78,,,,,,,,,,,,,,,78_0,FAILED,SOBOL,,,3353,420,1550,0.235669411888346086447754146320,0.248220286676660184532750008657,3.906201638332568393252586247399,str\(\'ks-test\'\),39,str\(\'bounded\'\)
79,,,,,,,,,,,,,,,79_0,FAILED,SOBOL,,,2320,4582,3183,0.608013545937836186183744757727,0.519886261779815006534022359119,7.555463766986505014244812628021,str\(\'t-test\'\),21,str\(\'bounded\'\)
80,,,,,,,,,,,,,,,80_0,FAILED,SOBOL,,,2352,625,640,0.295579223906621335604683054044,0.333451791021972920869842482716,0.550742715360596823970240620838,str\(\'t-test\'\),41,str\(\'bounded\'\)
81,,,,,,,,,,,,,,,81_0,FAILED,SOBOL,,,3223,4377,4006,0.921378693275153648478692502977,0.933527339631691543964109314402,6.738830032273196657399694231572,str\(\'ks-test\'\),20,str\(\'bounded\'\)
82,,,,,,,,,,,,,,,82_0,FAILED,SOBOL,,,3878,1748,2149,0.048360994124785068593030956663,0.716194100953638557172098444426,7.917006511325948459045775962295,str\(\'t-test\'\),12,str\(\'bounded\'\)
83,,,,,,,,,,,,,,,83_0,FAILED,SOBOL,,,545,3255,2507,0.670084246333688460239841333532,0.051791004268452525693966492781,4.071917726328597275653464748757,str\(\'ks-test\'\),30,str\(\'bounded\'\)
84,,,,,,,,,,,,,,,84_0,FAILED,SOBOL,,,952,1985,4493,0.511614098150283136412497242418,0.161001810777932408136337016913,1.839872137350030190106053851196,str\(\'t-test\'\),3,str\(\'bounded\'\)
85,,,,,,,,,,,,,,,85_0,FAILED,SOBOL,,,4646,3018,229,0.147134414555504910993022349430,0.575917267421260481441436240857,5.528727273706347311588160664542,str\(\'ks-test\'\),33,str\(\'bounded\'\)
86,,,,,,,,,,,,,,,86_0,FAILED,SOBOL,,,2781,686,3346,0.770157194882631346288803797506,0.793254545532167010257751371682,9.206136063687504034191988466773,str\(\'t-test\'\),50,str\(\'bounded\'\)
87,,,,,,,,,,,,,,,87_0,FAILED,SOBOL,,,1626,4316,1385,0.386129385171458117120835140668,0.442659026546403766566584181419,2.861814837389625498786926982575,str\(\'ks-test\'\),18,str\(\'bounded\'\)
88,,,,,,,,,,,,,,,88_0,FAILED,SOBOL,,,1388,1379,3481,0.200985117260366691338546729639,0.959954139366745895500798724242,4.945994740310125870053070684662,str\(\'t-test\'\),7,str\(\'bounded\'\)
89,,,,,,,,,,,,,,,89_0,FAILED,SOBOL,,,3016,3623,1868,0.581053786443546438356122507685,0.311053006654605279646119697645,8.595197493774815455935822683387,str\(\'ks-test\'\),36,str\(\'bounded\'\)
90,,,,,,,,,,,,,,,90_0,ABANDONED,SOBOL,,,4882,2,4990,0.457031000539660448023226990699,0.093712365757673984911768627626,7.271144369566814091854212165345,str\(\'t-test\'\),47,str\(\'bounded\'\)
91,,,,,,,,,,,,,,,91_0,FAILED,SOBOL,,,714,5000,369,0.825469828380271830603476246324,0.678284998627379565050432574935,0.965288171372376435641626812867,str\(\'ks-test\'\),14,str\(\'bounded\'\)
92,,,,,,,,,,,,,,,92_0,FAILED,SOBOL,,,310,1191,2277,0.976202111115679116437604534440,0.537860040783882165094098581903,3.735609260484576310545890009962,str\(\'t-test\'\),44,str\(\'bounded\'\)
93,,,,,,,,,,,,,,,93_0,FAILED,SOBOL,,,4116,3811,2992,0.365991638489067572237445347128,0.202828350624069564389628794743,9.885231847287155204639930161647,str\(\'ks-test\'\),23,str\(\'bounded\'\)
94,,,,,,,,,,,,,,,94_0,FAILED,SOBOL,,,3461,2393,1129,0.740009343216195714099114866258,0.420172562506049895869608690191,6.060759057362564483639744139509,str\(\'t-test\'\),9,str\(\'bounded\'\)
95,,,,,,,,,,,,,,,95_0,FAILED,SOBOL,,,2116,2610,4149,0.102697090547531844073603224388,0.819525142090395064542462932877,2.255322357263416233053021642263,str\(\'ks-test\'\),26,str\(\'bounded\'\)
96,,,,,,,,,,,,,,,96_0,FAILED,SOBOL,,,2071,1014,2794,0.393356240985915039942710791365,0.130692313946783544853502689875,1.100862476210109797136738052359,str\(\'t-test\'\),36,str\(\'bounded\'\)
97,,,,,,,,,,,,,,,97_0,FAILED,SOBOL,,,3582,3986,1927,0.761714397281408328588270251203,0.606097320226952396282626978063,7.450600366180763600709724414628,str\(\'ks-test\'\),6,str\(\'bounded\'\)
98,,,,,,,,,,,,,,,98_0,FAILED,SOBOL,,,4158,2294,3795,0.137732235850766299156688887706,0.763012627873569715397650270461,8.459688523994758568846918933559,str\(\'t-test\'\),14,str\(\'bounded\'\)
99,,,,,,,,,,,,,,,99_0,FAILED,SOBOL,,,186,2706,936,0.517851116318255644266344006610,0.472786735886707887299706953854,4.766485328375362762187705811812,str\(\'ks-test\'\),46,str\(\'bounded\'\)
100,,,,,,,,,,,,,,,100_0,FAILED,SOBOL,,,681,1437,1440,0.678573145147413070432662607345,0.363696563981473430793300849473,2.390831476040184533360388741130,str\(\'t-test\'\),23,str\(\'bounded\'\)
101,,,,,,,,,,,,,,,101_0,FAILED,SOBOL,,,4995,3563,3206,0.041088869893923400666846390550,0.903412003261968465928077876015,6.240268320300616622375855513383,str\(\'ks-test\'\),43,str\(\'bounded\'\)
102,,,,,,,,,,,,,,,102_0,FAILED,SOBOL,,,3052,294,97,0.915065950147807560810520044470,0.746493128348141854466746281105,9.749657393452711318104775273241,str\(\'t-test\'\),26,str\(\'bounded\'\)
103,,,,,,,,,,,,,,,103_0,FAILED,SOBOL,,,1277,4706,4558,0.305057960366830249743230751847,0.021606192627921700505355673272,3.556153412867337770819631259656,str\(\'ks-test\'\),8,str\(\'bounded\'\)
104,,,,,,,,,,,,,,,104_0,FAILED,SOBOL,,,1669,2081,577,0.111994812827557327361560624013,0.507679036211222456387304191594,4.243913085142151153661416174145,str\(\'t-test\'\),19,str\(\'bounded\'\)
105,,,,,,,,,,,,,,,105_0,FAILED,SOBOL,,,2658,2919,4692,0.733880588540807399233756314061,0.233138799222186221538066774883,8.054918351060710079991622478701,str\(\'ks-test\'\),40,str\(\'bounded\'\)
106,,,,,,,,,,,,,,,106_0,FAILED,SOBOL,,,4601,861,1578,0.358903502710163579969560032623,0.390045804932713513490938339601,6.566736112135463265815360500710,str\(\'t-test\'\),29,str\(\'bounded\'\)
107,,,,,,,,,,,,,,,107_0,FAILED,SOBOL,,,1073,4139,3700,0.984509995749220268024259894446,0.849766107982024565536960380996,0.412917517213150897514850612424,str\(\'ks-test\'\),12,str\(\'bounded\'\)
108,,,,,,,,,,,,,,,108_0,FAILED,SOBOL,,,580,331,4282,0.831643851472064876695355906122,0.990070427503436767402433815732,3.033908906524069859500514212414,str\(\'t-test\'\),32,str\(\'bounded\'\)
109,,,,,,,,,,,,,,,109_0,FAILED,SOBOL,,,3767,4669,1067,0.447687177047133455509708710451,0.280807281928136920345906446528,9.343961112838238491917763894890,str\(\'ks-test\'\),3,str\(\'bounded\'\)
110,,,,,,,,,,,,,,,110_0,FAILED,SOBOL,,,3191,1688,2940,0.572669344054535067733979758486,0.123896225631237033582010553801,5.356731765896082464450955740176,str\(\'t-test\'\),17,str\(\'bounded\'\)
111,,,,,,,,,,,,,,,111_0,FAILED,SOBOL,,,2465,3312,2419,0.208148977998644124642879660314,0.647986922999843950599085928843,1.701960446611978206021831283579,str\(\'ks-test\'\),50,str\(\'bounded\'\)
112,,,,,,,,,,,,,,,112_0,FAILED,SOBOL,,,2199,1815,4876,0.893835842670872793291891866829,0.459724167382344617305278688946,8.943931940742768205154789029621,str\(\'ks-test\'\),19,str\(\'bounded\'\)
113,,,,,,,,,,,,,,,113_0,FAILED,SOBOL,,,3398,3185,395,0.260258301276713621685843236264,0.811275215789675763211619141657,2.750368584968149843206219884451,str\(\'t-test\'\),48,str\(\'bounded\'\)
114,,,,,,,,,,,,,,,114_0,FAILED,SOBOL,,,4033,516,3533,0.635227769253775442770404424664,0.591992763938382293709139503335,1.262910768050700349718340476102,str\(\'ks-test\'\),34,str\(\'bounded\'\)
115,,,,,,,,,,,,,,,115_0,FAILED,SOBOL,,,373,4483,1748,0.021328270167112351601845787741,0.180012601237744096493997858488,5.112288237121887846114987041801,str\(\'t-test\'\),1,str\(\'bounded\'\)
116,,,,,,,,,,,,,,,116_0,FAILED,SOBOL,,,1100,753,1234,0.174186807744205002235204915451,0.039602531483396888334347352156,7.732326028859243471913487155689,str\(\'ks-test\'\),32,str\(\'bounded\'\)
117,,,,,,,,,,,,,,,117_0,FAILED,SOBOL,,,4477,4247,4113,0.546451701616868401600868310197,0.701093146890401808235537828295,4.039182208429091147650069615338,str\(\'t-test\'\),11,str\(\'bounded\'\)
118,,,,,,,,,,,,,,,118_0,FAILED,SOBOL,,,2631,1876,2235,0.421461924191564307751178830586,0.920379649328067928060193025885,0.051304725795052949499641670172,str\(\'ks-test\'\),22,str\(\'bounded\'\)
119,,,,,,,,,,,,,,,119_0,FAILED,SOBOL,,,1793,3124,3122,0.797689299071207669200589407410,0.319310530360788102921532072287,6.401101990954951581613840971841,str\(\'t-test\'\),39,str\(\'bounded\'\)
120,,,,,,,,,,,,,,,120_0,FAILED,SOBOL,,,1563,108,2092,0.616380202181637248948220531020,0.831732605600729590911157629307,5.801148613285273647477424674435,str\(\'ks-test\'\),28,str\(\'bounded\'\)
121,,,,,,,,,,,,,,,121_0,FAILED,SOBOL,,,2864,4891,2632,0.228518697431311007539633806118,0.435254287902265779575117221611,2.146469895456917686971110015293,str\(\'t-test\'\),8,str\(\'bounded\'\)
122,,,,,,,,,,,,,,,122_0,FAILED,SOBOL,,,4710,1310,749,0.852508476715534979639699031395,0.215964426396414638231746607744,3.156054212317802143417111437884,str\(\'ks-test\'\),25,str\(\'bounded\'\)
123,,,,,,,,,,,,,,,123_0,FAILED,SOBOL,,,870,3690,3984,0.491877716431394218510320115456,0.552012678034603632148957785830,9.466199020087719517846380767878,str\(\'t-test\'\),43,str\(\'bounded\'\)
